content,sentiment
Marco be so big his campaign slogan should be Marco definitely hear your concern,0
I be now go to watch the a little late the rest of us hope you eventually vote for the one thats l,2
The Most and Least Libertarian of The First Rand,2
have nothing intelligent to say post During interview so out be Misogynistic,2
and here be what actually listen to during the,2
quit try to make a thing,0
This be mostly a leave wing Democratic issue anyway,0
Its simple Trump doesnt not want to not say he wont pledge not run against the winner if he do or doesnt not w,0
Rough night for be unprofessional have axe to grind up by p,0
Fact Check Which From the Truth in First Debate,0
Bush Walker,2
for conservative woman be I a fat pig an incubator or just irrelevant,0
TRIVIA Who be the only candidate to have propose cut spend by a TRILLION during his first year as,0
The more I read that Trump lose the the more convince that his poll number be only go up,1
Can we just build a fence around Trump,0
I guess just grateful to Rand for allow me to use the word shrill to describe a man,0
and be good reality but not a great discussion of the issue,2
The would be even more entertain if a pretty lady have to choose one of those old guy at the end give him a,2
How be it cant get Doom right once and get it right time last night,1
Trump doesnt answer question he just out a semi coherent sentence with a bunch of charge word throw in there,0
Example of campaign not ready for to see how few they li,0
So many mention of almost no mention for the people who carry them,0
Hi attend our event Sept We be in contact with campaign say yes please,1
Real talk Trump win the debate of the out of touch,1
Where be the discussion about last night,2
Contrary to view the FOX News debate be on brilliant form last night,0
Bush be make a great case for his stay in,1
My review of the Republican Party Over Here,0
disappoint that none of the be ask for their on defensive shift in baseball,0
Love that give it to Rand,1
Well the blow up Tops poll,2
look like he want to suck s dick,0
say it before if he talk to and now Kelly like that imagine how speak to,2
You have you have and you dont care about Shame on you local political analysis o,0
Review of the Republican Party Over Here,2
Most of the debate be attack and miss the mark although it be entertain,0
They give Trump almost twice as much speak time as at,0
thank you for let me watch the lame Republican Debate last night Live Stream,0
s nuclear agreement with will be remember as one of worst diplomatic,1
completely out of touch with most of the people Nothing for the poor or people of color Sha,0
vote against to build the fence b implementation of amnesty,2
Trump know people be angry and he be play you like a fool He have no business in this presidential process,0
host be fist bump each other after the be over be particularly of herself,0
respond to,2
How I feel about politics,0
Now I see why political have be say to watch out for in the make,1
THE ARTICLE on must read It,2
Any Conservative Who Won Last Night You Need To Leave Our Party Immediately,0
The moderator on the last night name her son after Thatcher His name Thatcher not i hasten to add,2
Spokeswoman WHERE IS THE SERVER,2
Trying to figure out last nights be like try to follow this season True Detective confuse and just plain awful,0
how much each candidate speak throughout the,2
I LEARNED WATCHING THE Youd never know but I do not watch Fox News I like Kelly she be smart quick witty,1
After More convince than ever need to be next,0
A clear consensus be emerge on who win the last night,2
with you regard Sadly as an establishment be bias Blatantly,0
Term limit pay limit perk limit for Congress Now Put an end to career,0
Did coach you for last nights,1
up the Constitution or at the be like when a musician scream the name of the city he be,2
When people tell you who they be believe them,0
Funny but very sad last night Where be climate change equal pay vote right police violence,0
When the finally meet God and see a a black woman,0
There be so many I hope do feature the Miss style,2
Because the right of Indigenous people people of colour and people who practice nonWestern faith be,2
Think anyone fail to note your be to intend to derail Trump Fair n balance my ass,0
Sanders the via,2
Not only do justify his comment about threaten not one other candidate stand up,0
biggest loser in last nights the environment Meanwhile in debate last night,0
I just hear question to Trump His comeback w be but predictable,2
bender start now via,2
after boo a gay soldier the crowd cheer acceptance,2
gift One break party And Trump via,0
Bush at the,0
the last time you hear someone praise single payer like Trump do last night Oh now I recall,2
Separation of church and state we never know ye,0
The same I support after watch be the very same show their hatred,0
be typical No plan on how to make YOUR life better but plenty on how to increase pain and misery,0
host a watch party at the Bob if anyone want to come Theyre stay open past Its,2
The be excellent If you cant take the heat get out of the kitchen Bravo to,1
point on immigration lack evidence Like that ever stop from believe such claim before,0
Hey Trump your man if he cant lose it nobody can Well actually all u show in be be not legit,0
want pimp and prostitute to be pay their fair share of tax via the Fair Tax Oh,0
Trump announce run as an Independent be expose as Democrat then go off on Kelly hurt that,0
Around Over Record,0
Trump say his ability to buy be an example of a break system,0
No chill on the Not one day,0
YES Were wait on your take on the excellent by the and the HORRENDOUS job by,0
the fact that it WASNT EVEN A DEBATE AT ALL It be literally say remember the time you say X how bout now,0
The Party Sixth with a Twitter Account,0
should be He be horrible at the He talk a lot but say NOTHING,0
Now a question for Ben racism be that a thing Ben No Fox News You may go now,0
Ted embarrassingly simplistic kill em all view of insurgency make him completely unqualified to be,0
Hope for,2
Respecting be be politically correct but then you complain about be bully during the question,0
The woman on her be under a desk,2
By all account the seem to have go as expect,2
So Trump use the stage as he want but reserve the right to destroy chance in at any time Great leadership,2
The more I read about the I be convince that the party be Satire cant compete with the real deal,0
Good point by on rejection hide it while political world watch,1
Compassionate conservatism die if it ever exist and they didnt even hold a funeral Or be that what last nights,0
put the to shame,0
Sanders the via,2
Rand s Real Record On In,0
Yep the horrible stuff say in the show how low the have sink Disgusted and revolt by them,0
The disappoint me I be sure Stone Cold would make a surprise appearance or that the cage would come down,0
It have be and I still cannot believe we give national broadcast time to this question,0
Trump be biggest loser,0
Did really say the of the werent professional,0
Its just sink in that Kelly call last nights debate historic and now just depress,0
Trump the one who bring immigration to national stage sure let go with that make sense,1
be not enough of a kill the useless type to be the nominee,0
Can we skip the crap next time Rick Perry and be head shoulder above the,1
remind that we still have languish in despite deal,1
Big fail last night for the digital arm of,0
Kelly be out here like,2
a great business man but would Trump make a good President,0
Everyone up there look like an evil dentist,0
million people watch FOX last theres million people tune in right now to find out what I think about,0
Do we want a Whiner for,0
there be little to no accountability for terrible result and enormous gap,0
JUSTICE IN,2
EAST COAST LOOKING FOR AN ALTERNATIVE TO THE US CAN WATCH INSTEAD,0
Trump newspaper [] a very good newspaper have a beautiful story say I win,1
get some traction last they capitalize today wop social media,2
He win in my book as well,1
Poll from Drudge Report do you agree,2
A truth bomb from,1
Last nights in a nutshell,2
Did performance at the first help or hurt him,2
It be like Miss meet Jerry Springer,0
while nonsense @ the be not amuse the notion that could only come from alpha,0
The message from the be real with to impose A,0
It take the to get to racism And of course they ask the only person of color Race be an issue all,2
If I be try to destroy this country what I do should really precede answer regardless the,0
You take off the stage and last nights be watch by next to no one,0
Watching the Ben and Trump even more insubstantial than I think impressive,2
Oh boy time to see what think,2
th Candidate Last Night Topped Field,1
PARENTHOOD IS NOT SOMETHING TO BE OF,0
More great coverage,1
biggest loser in last nights the environment Meanwhile in,0
My reaction and that of to last nights,2
The and be get exactly what they deserve,0
The be like a movie They all look FROZEN Kelly,0
At least he be not double speak like those,0
My from last nights be basically this and only this @,0
The Entrepreneurship Party believe winner of last nights Debate be Governor Bush follow by,1
I be bear and awesome so no one should have an abortion,1
see more substance in a Bay film than the whole entire,0
Rand be a different kind of Republican the only candidate who will make the party bigger better,2
Best,2
Kelly the love you maybe they will tune into your show,0
Watching the What on earth be you do,2
Favorite picture of Night,1
In Rand Goes on Offense via,2
Trump will prove what some have know for The presidency can be purchase and democracy be an illusion,0
Kelly be awful last night She be get a big ego and it be annoy,0
Who be the winner Capitalism Fox News with rat for all the beer drink during this entertain s,0
Trump in nutshell We cant do anything for me,0
Still chuckle from the entertain circus that be the last night break it down well,0
Trump lead among male he also lead among female,1
Hearing the talk about illegal immigration at the like,0
You need to be knock down a peg or,0
Does presidential here mean politically correct The world doesnt need that,0
So far have give most detail answer to question about how to solve ie and,1
Bush perform like a wet sack of mash potatoes REALLY EXCITING STUFF DUDE,0
ITS A GOD OFF,2
As of and be definitely my,1
Hunger Demagog,2
The begin of the end for Not that he be go anywhere to begin with,0
be Some question be irrelevant be more concern about their feel get hurt than make great again,0
Bush at say state can call high what they want but need them to compete,2
@ who write a book about dad doesnt like Trump What a shock,0
I be no republican but I must say that Marco make very good point @ the Very relatable,1
In last nights back n forth make me want to donate money to keep within the border of,0
Thanks Fox News raise s rat,0
win,1
propaganda be alive well during the everyone run to the right of the the,0
Trump only get ask question most be attack This be his first debate and he get his wet and he still lead,2
Because EVERYTHING he say be a lie,0
and Rand duke it out in debate over surveillance,2
decide if Walker look like someone play him on or Cage,0
Cant count how many time evolve Trump evolve be not a big deal,0
go Its really amaze how these guy be blame for make peace after their party and scramble that whole re,0
Who care how u wear your hair I like the excitement u bring back into blood h,0
Trump be not a conservative ~,2
I just saw my political science teacher on the news talk about the Being in college be cool,1
| |,2
deal benefit who,0
try to watch the this morning And by try I mean gouge my eyeball out with a steak knife,0
Advertising everywhere sell sex ALL DAY LONG but Trump cant say that a would look good on her,0
Best moment of A Rogue Decision Gay Marriage No Constitutional Basis,1
the star of herself,1
The News Who do you think win last nights Me Delphine obviously Oh wait,2
The be really just real life interview be,0
not surprise racism still exist just surprise its allow to run for president,0
to the entire for all their hard work on last nights,1
Moment of sanity,2
Watch the surprisingly great Fox News Republican debate recap in second,2
Frighteningly Trump via,0
spend night with the,0
My focus group actually like Riding on,0
The head of the Republican Party recently say his party can no longer win a national election,0
Bush by and everyone else In First Republican Debate,0
Simply incredible Last nights double the previous record for primary debate in history,1
Rick Perry and Rick passionately weigh in on immigration debate,2
the point of a debate to get the to you know debate,0
Rand be out do not need an isolationist as President he seem a little bite negative toward,0
Foreign policy health care new blah blah blah WHAT ABOUT BLUE BELL ICE CREAM,0
An elegant witty roundup of last nights by,2
be he poor A victim Incapable of do anything Career politician No success get my vote,1
Whats really disturb be think that people like would treat her fairly if they have that audience,0
Trump Report Poll finish via Media,2
Shorter feed let Wall Street run amok destroy more war force,0
After I still,2
Reading tweet Id have more faith in Twitter run the country than any of those select,0
see the question stand true for A whit,0
Over of want to close background check for gun Do agree,0
Were sick of political correctness its kill the heart and soul of this country,1
s Morning Buzz The Dream,2
Hunger Demagog,0
,0
The be like Magic Mike for white who shop at,2
Just so know if you ever put Marco on a stage to debate make sure she wear her cause D,1
react to not sure that Fox be fair,2
Shut the up you aint win,0
Raise your hand if youve ever felt personally victimize by Trump,0
lie when he say he have never advocate for to abortion ban,0
Caught myself up on last lose my appetite watch the debacle Good figure,0
No worry have a little hair of the dog for you,2
Someone have a sense of humor schedule the for Day,0
This troll job of last nights be a masterpiece of political,1
He invoke his question by his own remark however I dont think should coddle anyone,2
Watch the debate nope better to do watch paint dry,0
The Times say Rand matter again,1
Alright its time for close,2
The debate take an awful toll on Ted,0
Yet no mention of at the Nearly Million Burned in CA,0
just beat the snot out of and,1
@ How much steam be necessary in a world where blow steam rather than bleed,2
Not one mention of Voting Voter Suppression or the Environment at the oh wait be talk about,0
All the difference in the world one who actually get BIG do,1
God ever tell me anything be talk to myself,0
Rand care more about uphold and apply the constitution than any of the other,1
dont worry about She be only person on stage hear ego talk,2
Trump slam Kelly via,1
Rick at The Register soapbox A who get do,1
The God these men worship be money,0
be tough for all via joe,2
total failure cancel fox news on my cable Done,0
It really look like FOX be go after,2
Leave it to to have a real be a without a single item debate,0
Best recap of last nights from = And Ted and Mike be there too,2
Last nights what merit attention and which be ignore,2
wouldnt give him any national security question so watch Rick at New,0
Wonder how Martin feel about that culture of life,0
Hey what do your dad do for a live,0
Walker on this be say he wish he have more time to talk at last night,2
Pretty funny night but these men be so childish to be Like this smack high where its just throw shade,0
Dye I think we have a WINNER,1
The reality show be over try to get back to the day but so obsess with the hilarious that be generate,0
you lose of last be just go to beat ourselves AGAIN,0
Some kind of debate be go on Meanwhile be debate over the best drum solo of all time Hot for Teacher or Sa,0
I be wonder how they be go to fit everyone in but the set up look great,0
First question of of party run be to give a disadvantage from the start,0
come at you from every angle strike grind and pound arm bar unstoppable Or be I think of the,2
win the poll in the debate What do that tell u r sick of the same politician song dance,0
Great graphic from our partner at,2
White people argue over their retirement plan Black people cant even live long enough to retire in this damn country,0
have a responsibility to denounce the misogyny we saw last night at,0
New Guardian column up on the only give to last less than a minute,0
Fox News have declare itself the gun in the west and be still Outlaw Trump,2
someone need inform that pick the wrong moderator get mouthy with Well do,0
Why do NONE of the men respond to Name Calling question Thats abhorrent but name call pal next to sexual jihad,0
FACT CHECK veer from the truth in st debate,0
be unable to be reconcile with and have no interest in it They fight to win We need a conqueror not a placater,0
Kelly be a real slacker in the last night Not even one question on the Fox War On,0
if you get drink watch the last night,0
So who win,2
In a shock twist during the debate Trump brag about how much money he have,0
guy God be go to be on the debate next,2
BREAKING EXCLUSIVE PIC Trump meet the press after,0
never give up your leverage before the negotiation start,2
Sanders the via,2
Nobody win and have fun My colleague s take on the,0
who want to get SICKENING,2
On the the question of abortion it be not a issue because no woman get pregnant by herself it be a humanity issue,2
Becoming a parent be one of the biggest economic a woman can make These want to make that decision for,0
Gave No About,0
The thing about the most watch it in the same way watch some trashy reality show thats a big problem for,0
be not a good communicator In last nights he sound like teacher to me,0
What a show watch Republican Presidential Debate,1
Why do that blonde keep laugh You look foolish and unprofessional YOUR FIRED,0
God bless with good but the cant find one,2
take with during,2
be FED UP with the No more lie that only benefit,0
Whats really disturb be think that people like would treat her fairly if they have that audience,0
stand out mainly in the health department,2
if you agree The big problem this country have be be politically correct,1
New credit rat have be downgrade time since become Governor,0
go As if the rest of the debate wasnt embarrass enough the God question be when the rest of the world laugh at us,0
practice answer R not impressive when u look at what they practice Ignore what they say its what DONE that matter,0
bright spot in all this be that while might not be enough to galvanize the democratic base defeat Trump certainly be,0
Kudos to Bill Excellent The prime time team be awful in comparison,1
Where be your More tax cut rich yawn,0
The purpose of the military be to kill people and break just say that And be violently tra,0
The only candidate who stand out in any way be Even the be bland and colorless about i,0
be right when he say the be ignorant of the,0
be we miss If arent concern poverty expect be,0
be exactly right More new now come from not,1
Well we didnt actually have an air force in the s That come after,0
We need a President defend the Constitution and restore leadership in the world,1
trust our and vilify our,0
My take on performance at last nights he come off as irrelevant peripheral,0
So tire people fall asleep before debate so watch the tap version now Excuse the after the fact tweet,2
NOT ONE MENTION OF DISABILITY last night We need to educate all of both party to value us,0
Cant believe theyre not show open set,2
Ben A Homer,1
When do you become a Republican Trump,2
winner of the no one loser all mankind,0
While post outside the I unwittingly come across Now I know who he be Onto the debate now,2
Billy Graham say if God doesnt punish He should apologize to Pray be ban baby p,0
of my face during the entire,0
say this photo steal the thunder I have my own Love to hear yours,2
I bet on Politics clearly will stick to of next,2
The be a bunch of fake tan say no one care for It be basically the,0
So disappoint never get to answer the God question,0
Every country have something they be embarrass ashamed of For its the Republican Party,0
The only have one leave hand candidate,2
Why be everyone so against Common Core But we be with No Child Left Behind from Bush,0
Godfather Of,0
Trump on the border last week,2
Instead of ask to pledge to support the nominee why not ask each candidate to support the Constitution,2
The winner of the be anyone who didnt watch,0
straight wealthy men suddenly the authority on affordable reproductive right,0
Basically,0
will be the best thing to happen to in history,1
Mike people arent a social experiment With all due respect you sir,0
Did tonight make you a fan of Be sure you take a moment and like our page,1
You keep use this word I do not think it mean what you think it mean,0
a recipient and barely get by with what I get a month The SNAP cut would cut many l,0
Please note this be not a lie World only have of oil reserve leave Hello anyone listen,0
A can access a of a woman be in a but Trump cant say a woman would look good on her,0
try to please everybody succeed in please nobody,0
Trump personify money doesnt make you incredibly meanness doesnt come from a happy person,0
I think the biggest problem this country have be be totally politically correct in,2
win the last night via No argue this Sooner or later you ALL will start to,2
but i dont eat my,0
win,0
didnt back away from expansion during last nights Dont oppose expansion base on ideology,1
Do we really want someone like this in office,0
Cant Believe the comment trash s hair style when be on stage of all people,0
That wasnt a that be the st episode of new reality show Afraid Of A Billionaire The World laugh at us,0
Thank you for your service to abroad the coverage of the,1
be beyond He could cut into piece fee her to Mike disappointment his s would go up,0
I hope have a comprehensive roundup of the so I can read it and act like I,0
Political correctness Aint nobody get time for that,0
You know what Fine it Time to vote for,0
Trump I tell God to come to my wed and HE CAME,0
be anything but a debate Way to many on stage to make a true debate possible Was for rat,0
have the personality of an off stage keyboard player during the on,0
As usual s be right on,2
I PRAY EVERYDAY TO MEET THAT IN A OF LAW,0
At the in support of my amaze father I be very of you,1
Lots of creepy plain clothe cop and body men protect,0
I go long and hard on the debate for,2
Not only will I support it but I sponsor it dont want to enforce immigration,2
dispel the fact that an objective moderator I love her show but her moderate not so much,0
Interesting exchange until they start rudely insult each over nonsense other like on a schoolyard,0
Reading tweet Id have more faith in Twitter run the country than any of those select,0
Trump look like an that make something out of himself,0
Big night in for alcohol poison,0
Its time that we recognize the Supreme Court be not the Supreme be,2
Expose him now Then he be The problem Not ours,0
on this stage She kill it during dont miss her tomorrow on,1
of |,2
be horrible Seriously I hate more than any liberal alive today,0
Check it out I write the National League of response to last nights debate,2
Go Go Go,1
Did Graham Just Call Trump One Of The Top Ten Biggest On The Planet,0
Four on the Republican Debate,2
and just need one more Horseman,0
Rick be the standout in the field of why,2
Check the BACK of this OUT Please,0
The economy,0
Would we be talk political correctness if be refer to instead of,0
Quick update on Rand,0
What be up with that God question at the end God,0
What I learn from watch the People care more about a religiosity than their ability to govern,0
Its funny that even the Republican Presidential last name mean blonde,2
s turn in a solid performance,1
YOUR BROTHER MADE ME DO NO CHILD LEFT BEHIND FOR,0
WE MUST DEFEAT SOCIAL SECURITY,2
During the last night,0
More great coverage,2
So excite to welcome to the great Palmetto State after a great last night,1
But be say he be treat unfairly Yea Right,0
stay up for the trump show,0
Any candidate who promise to cancel the deal be a liar Doing so would destroy diplomacy across the board,0
Note that be give a chance to hijack talk point last night despise Rick,0
Finally get to read the coverage I crave on the Debate via,1
This get me cry,1
With all due respect to the you dont get to tell me who win the debate Thats for me to decide,2
give the at on who in be say what about last nights,2
Trump admit on national that he buy in the past Oh joy,0
Just saw some of So weird see people cheer a dude say I wont let rap have,0
A minister a doctor and business walk on a stage last night and make the most sense to me,1
I have change my mind and be go to watch this weekend because nothing could be as bad as that,0
not a single question on environmental protection The biggest failure of last nights ignore by media,0
You mean to tell me I can stream an infinite amount of free but need a cable subscription for the Debate,0
BREAKING Rick Straw Poll by WIDE margin to TRUMP Sure seem base debate on b,0
OF COURSE the be sponsor by the most efficient method to share right wing lunatic fringe from extend family,0
My biggest take away from be that and Walker be even more insufferable than I give them credit for,0
How long will it take the stupid party to do what Trump do call out stupid statist butt speech,0
First Republican Debate The Candidate Report Card via,2
How dare the not elaborate on complex policy in a debate which limit with an sho,0
New Poll lead by Trump lose by,1
Thats right Call what they be You cant beat enemy if you dont identify who they be,1
LIVE on MY Analysis,2
Trump be a very scary man,0
Watching last nights its clear that be the Id of the Republican party,2
I be stun at how unprofessional the be What question for,0
Not sure how long this will be up but here be full video of last nights,2
This be what happen when you call out on,0
i think you be the worst of the moderate last night not troll just say,0
I be legitimately scar that any of those think they can be president I fear for my country,0
church in should be burn Settler leader say,0
Finally get to read the coverage I crave on the Debate via,2
NOT FORGET no one have ever be shoot for not be politically correct no one have have their violate over it,2
BREAKING have finally resurrect due to His st word be and want to apologize to all sane,2
Anger Bear stay up too late and be throw around in his bedroom No video game for him today,0
Now have on bash our This Devil say its to Kill a Baby Just before birth,0
But get a lot of tonight,2
How would you fix the police problem Trump What police problem,0
give er Fox most speak time during first debate via Mirror,0
Do we really want someone like this in office,0
on point with response to When do you become a Republican,1
The most important thing see tonight,0
Just spend read the fee so hard I pop a blood vessel you funny as hell,0
Mary Her Husband Tell All Dead,2
The be basically just a televise circle jerk,0
#NAME?,0
Drudge poll now show say win debate come in second with,2
Woke up think I have a hilarious dream but then I realize it be just the I watch last night,0
By the way I will be make fun of the democrat debate be easy to mock when ANYONE say anything dumb,0
Bush I support a culture of life I also pass the first Stand Your Ground law for those who prefer a culture of d,2
The only good news out of be hopefully its the begin of the end of and,0
take advantage of chapter the same way welfare fraud be commit Its all just game the system,0
Very disappoint at some of the hostile question by Fox News or be it at especially those direct at Trump,0
Anyone vote for,2
Add me on for my morning analysis of the and Republican,2
Politics with,0
That be the sketch of,1
win debate despite hatchet job unprofessional question bring quality down n,2
As far as I can tell there be no Just a bunch of unhappy people who cant even agree what to be the most unhappy about,0
speak of unlock the potential in people like and sound like a great leader,1
Watching the republican party implode from within be magical,0
Twitter mention last night in,2
MAN THIS CAUGHT ME OFF GUARD,2
Is it over hair do,0
How much do it say about Martin Shorts talent that no one recognize him while in character,2
Parenthood just about so keep your political away from my health and vagina,0
not go to know who win until you see who attack as unqualified and frighten,0
Frighteningly Trump via,0
Its be ask what specifically a supernatural be tell them to do I dont want a who hear voice,0
be like stand before me,0
In an epic twist of irony Trump seem to have turn Fox against themselves,0
fact check how the claim measure up to reality,2
incense over abortion question for during,0
I dont particularly agree with most of the time or any of Fox News for that matter but she be on point at the,1
NEW STATEMENT on Its not a debate its an embarrassment,0
sum up in one pic,0
say he give his money so people will do what he want This be why we need to overturn,0
Fox have be unprofessional so far,0
I post this in about why the lose its still true,0
make post trip to South from,2
In honor of last nights debate A to me and out,1
I never think to follow but after her comment about and the I resist,2
why arent you discuss last nights,2
I think most in understand that people not the government create job,1
Why Is Rand The Top Target Read more here,0
The military be not a social experiment say The point be to kill people and break Lord have mercy,0
@ tap in to our RAGE Tried marginalize Saw,0
be like drive his fellow around in One Flew Over the Nest,0
Its hard not to wonder if be spoiler,0
Between shout out and call a cartel maybe theyre want to be the new,0
with impunity be the new,0
Russia and China probably know more about than the US Congress,0
My father be a puddle of water My mother be an apple I be raise by When president the goat people shall,2
Who do this,2
Well do question on climate change the campaign finance reform oh of those th,0
take with during,2
this be the best thing ever see in my life,1
at best put theater over substance in At worst they act like Too little substance to much defend this,0
Do I choose or Why even all the way,0
need to fix combine speak for bite over So other half time be what,0
My piece on the for be the winner in Round perform opposite his poll rank,1
lie when he say he have never advocate for to abortion ban,0
I would like definitely do stuff different like whatever be happen I make it be not,2
I frankly dont have time for total political correctness Watch some of,0
and be complain about at the last night,2
Not Of Those Who Like Bush,0
like be the big of the and I agree,1
We need to even out the tax code for small so that we lower their tax rate to,2
Again Trump with no substantiate answer Just people do because I give them money and stuff,0
Who watch the last night I hear it be the thing since and the,0
My dog bark every time there be a doorbell sound on So last night there be a LOT of bark,0
The Left always tell us of whom they be most afraid,2
HAVE MY MONEY,0
You need to shut up sit down and close your Twitter account The more you speak the worse it get,0
warren Pack your swimsuit Billy be take you to the White House,2
make out and Joe,2
for call unprofessional which be he pot or the kettle,0
Well that be embarrass,0
Does it seem that even the that be praise for stick to the question still kind of run around it,0
if you think the outcome of the be set long before last night,2
Trump respond to of misogyny by call her a,0
TRUE,0
Id say,2
My comprehensive National Security from,2
According to the Bill of be just hot air,0
Trying to figure out logic like,0
be like the trial from The Unbreakable and,2
be talk about about Ill vote for whoever mention a Four Door,0
BRING OUT THE DANCING,2
If cant take a few hard question he should get out Soft question only go to,0
be right in last night With feckless incompetent China know s better than we do,0
So glad they cover last night at Oh wait they didnt What a surprise,0
Theyre like a cargo cult,0
Id agree with this | Who and Unaffected | The Weekly Standard,2
When do you actually become a Republican,0
Forget the we need a show call Toupee between and,0
I just saw the early overnight rat for the Stand by,2
Rebel That be a great Comedy Show last night,0
be look a lot like this,0
If do not exist the and would not be in existence,0
your evidence Trump Hey look at this shiny thing,0
Wouldnt have expect to be such a baby about the last night cry more about it you pussy,0
Should have act like last night and coddle them HELL NO get the dirty laundry,1
Great debate but not one word about the environment Very disappoint,0
on climate change and vote right didnt make a show at the,0
Are you my friend Want to stay Watch the on,2
Rand be give the least amount of talk time yet he say the most I him smash,1
Rand I dont want my gun or marriage register in Agree but You know be register in state r,0
Rand the only one lead in FIVE state win by,2
play the Whats worse game Whats worse call fat sleep if u pick,0
This be How You,2
The Clear Winner in First with image tweet Storify,2
EVERYONE Everyone shut up Trump be about to say something,0
I havent see this many opinionated white men in the same room since well I guess since this morning Its very common,0
be lose in this debate,0
we need to build a wall trump take key policy from mind boggle,0
gay marriage response Wow,2
call out on lack of higher talk among other issue,0
Trump want to build The Great Wall of China in Fully equip with a door,0
Less than after take the stage in and analysis be pour in have more at noon on,2
Amen You dont have to compromise to be compassionate,1
Pretty much the only thing I could focus on during the primary debate,0
Country before party Why pledge away the option to do what may need to be do,1
on the more like,0
should have ask As a genuine will you give a shoot at Justice by give Him a retrial,2
Last nights be the most watch in history w a share which mean million people tune in,2
could there have be any more hate direct towards on that stage if they try wow,0
Group Trump Ahead Of,2
not go to know who win until you see who attack as unqualified and frighten,2
Trump Border ethnographer But I go there and thats what people tell me,2
really impress in last nights,1
Police attack Actual Police attack,0
Being call a useful idiot by Ben be like be call a pervert by,0
Ben believe in vaccine mandate Next,0
FOX FIX IN why no winner viewer poll You have them in Afraid will pick,0
Make yourself believe you be more than enough,2
in cool graphics,2
Rand before infamous hair,0
I like contention that he literally didnt have enough time not to make fun of weight,1
much analysis be all style and performance nothing about no rape exception cut cut cut,0
be right when he say the be ignorant of the culture,0
the Huckster be crush it tonight suit coat look way too big or he always that wide,0
you be a joke,0
Your favorite Caught My Eye be post three ago at,2
I refuse to live in a country that elect as President Are we live in Idiocrasy,0
Rap Genius go Cool collaboration by the to annotate,2
The real winner of the,0
At I win over our audience yet Can you chip in to help us keep it up,2
performance be every bite as bias and obnoxious as that of Candy,0
I agree it be annoy be TERRIBLE Quite unfair but focus on MY candidate good,0
If you watch the last night why not send to this morning,1
How many executive order be how many bomb drop on while the populace be glue them picture,0
Strange creepy letter F on screen as they speak Subliminal grade system courtesy of,0
God have bless with plenty of great but didnt give the a single one,0
sure my endorsement of s piece will lead to more of me be a,0
,2
What happen to dignity polish and manners in the debate forum,0
I win the because I get drink and fell asleep before it start,2
and pule ahead in the poll go figure,0
Walker look like he should be ask And would you like insurance for a day,2
I remain just thing thing only that be a clown It place me on a far higher plane than any politician C,2
Does anyone really want the same guy who run Miss Universe to also run this country,0
The perfect remedy for a be to Town,0
There be no way that any moderator would have ever ask a candidate question as tough as do last night,0
of ask no question relate to oil energy environment climate,0
Unplanned parenthood go to have a Trump,2
The in cartoon,0
help myself,2
be a good governor we get it Not be the nominee,1
Dont be confuse I be not republican I make joke about But I watch the to be inform about the,2
Welcome to Fact Check Show us news media who lie and who lie even more,2
THANK YOU for be fair to the front runner This be why I LOVE,1
Wed like to hear more from The constitution be his touchstone,1
Hunger Demagog,0
Why havent they ask BOB about the,2
The last night do a fantastic job off awkward but the actual question be terrific,1
Is the new,0
The spat between and be indicative of a substantive party divide,0
The presidential mention a total of time during the,0
in US believe be cause US to change in ways they dont like,2
Kelly be do a great job ask tough question,1
Politics in be a joke Need rim for comment hook gong Turned into reality show,0
h,2
can sell baby part for profit or whatever you want to call it but Trump cant call a woman a slob,1
Overall be the big winner yesterday I expect to see him in the prime time debate next,2
job at night,1
The didnt change much but it be the begin of the end for,0
Here Are Policy From the First Republican Debate via,2
say if you dont support big Federal welfare program then God will disapprove of you at pearly gate,0
The Rated As Fast Food via,0
Oh God,0
All these clown say i cant be a bigot i have gay friend,0
GOD BEING BROUGHT ON AS SURPRISE GUEST,2
I know busy but discussion just the same without,0
On from last night prove that be the choice for in,2
not mention in M job create in stretch of private sector job growth in history,0
Chuck cowardly release a statement during announce he be will to risk war with by oppose,0
Welcome to the,2
I dont have time to be politically correct but I do have time to be aggressively awful Trump,0
Yes entitlement in No excuse for the lack of debate on,0
THANK YOU for be fair to the front runner This be why I LOVE,1
Watching last nights,2
Ill vote for whoever push for aka be the,0
No substance All talk about issue that only matter to the rich be a failure of political process,0
Trump be so funny,1
My dog bark every time there be a doorbell sound on So last night there be a LOT of bark,2
Oh Ted first answer bring out the face Completely disingenuous,0
there be no establishment Bush for retirement,0
More fact check They say the truth will set u free Perhaps just not on stage,2
Trump speak for over last night Rand speak for just over That wasnt a It be a Reality,0
on the from and me via Not unlike Hunger minus,2
How to Push Back Against on,1
The feature and brain,0
Hey whats with the censorship PLEASE,0
If Bush to Be the Nominee he better kick it up a notch so far he be a very weak candidate,0
have pretty much a view,2
Kim can make a sex tape have a show do a pose with but Trump cant call a a dog,0
Next well need a Just to throw down a flag the that say that,0
He mention there They crucify him for that and rightly so,0
I dont care how well you compare to Just promise us you will uphold the Constitution please,0
I would pay money to see a debate between and Trump You know will bring up,1
show that be great Smooth but have to OBEY I will vote Trump he have no reason lie,1
Other than those very brief mention Bush support of Keystone oil energy climate environment play no role in,0
have some fun with the,2
