ParallelSentiScore,ParallelSentiment,ParallelTone,ParallelToneScore,content
"('positive', 0.819)",positive,Sad,"('Sad', 0.5387725261019775)","was in the living room at home with an ex-boyfriend, it was nearly year that we had separated, during the talk he began to remember our courting and gave me long kiss."
"('negative', 0.855)",negative,Fear,"('Fear', 0.2600510639055404)","was with friend in stationed car when, suddenly man appeared on my side and an other with gun on his side the hold-up lasted few minutes but it was terrible. had never seen gun so close."
"('positive', 0.649)",positive,Sad,"('Sad', 0.47701128127079306)","was on farm with few friends and during the talk discovered that friend of mine, was being betrayed by her boyfriend and rd friend of ours."
"('negative', 0.46)",negative,Sad,"('Sad', 0.6908419606554365)",was watching television. It was about midnight when very dear friend called saying that his father had died in an accident.
"('negative', 0.681)",negative,Angry,"('Angry', 0.28856770403547677)",was working in classmate's house with group. girl began to graze her foot against mine under the table.
"('positive', 0.809)",positive,Happy,"('Happy', 0.45413791272801685)","was talking with an aunt of mine that adore and found courage to say \I love you\"" and just after that came the shame."""
"('negative', 0.787)",negative,Sad,"('Sad', 0.34281327893719415)",This feeling comes frequently when go out at night and tell my mother that shall come back early. But then get home or a.m.
"('positive', 0.975)",positive,Happy,"('Happy', 0.40304578699850857)",Always when meet the person love.
"('positive', 0.673)",positive,Fear,"('Fear', 0.43926974964634824)",When and the person mentioned above had suspicion of pregnancy.
"('negative', 0.623)",negative,Sad,"('Sad', 0.34065887991222366)","When left after the examination to enter the University, and even though had studied the whole year made bad exam."
"('positive', 0.931)",positive,Sad,"('Sad', 0.41400547587521985)",When thought for an instant that very good relationship with person had finished.
"('negative', 0.639)",negative,Sad,"('Sad', 0.6601073779316184)",When heard the bad news about the death of close person.
"('negative', 0.826)",negative,Bored,"('Bored', 0.5683393981547153)",When tried to hide fact from person for irrelevant reasons and considered such an attitude childish.
"('negative', 0.605)",negative,Sad,"('Sad', 0.3206635854706895)",It happens sometimes in connection with certain persons with whom have frequent relationships but nothing special.
"('positive', 0.491)",positive,Sad,"('Sad', 0.29155940752115084)",When entered in the University after year of struggles.
"('negative', 0.815)",negative,Fear,"('Fear', 0.42910807832746783)",Practicing wind-surf my body was caught under the sail. On trying to get out my leg was caught in the lashing. was afraid of dying by asphixia.
"('positive', 0.492)",positive,Sad,"('Sad', 0.3799274239501075)","In the University we were convoked to stroll like freshman was still innocent about the manipulation. On seeing the goal of the exaltation to poor character people, felt anger on feeling myself mass of maneuver."
"('positive', 0.866)",positive,Happy,"('Happy', 0.5397373265392664)","In social situation became interested in woman. We talked, we laughed, we enjoyed each other. She desappeared for few minutes, and little after appeared with an other man."
"('negative', 0.794)",negative,Sad,"('Sad', 0.6583470429468532)","saw man falling on the walkway. He seemed half dead, and was immobile. felt disgust for the people who passed by without doing anything to help."
"('negative', 0.971)",negative,Angry,"('Angry', 0.7250748262803718)","In the traffic insulted man who crossed my way. Afterwards paired with him, and felt shame because of mine lack of pacience and ridiculous attitude."
"('negative', 0.603)",negative,Sad,"('Sad', 0.44960940851003983)",great friend of mine travelled with the intention to change his life. He didn't succeed and returned depressed. had not power to support his frustration and his behavioral change.
"('positive', 0.971)",positive,Happy,"('Happy', 0.5773477888133791)",friend of mine travelled very far. miss her but feel joy too because fer life is taking the right direction as she wants. So feel joy for her mainly.
"('neutral', 0.444)",neutral,Sad,"('Sad', 0.2638898353483784)","Motorcyclistic accident where for some minutes didn't know if was alive or dead, remained \cold levered\"" during the situation Ã¡,but felt great fear."""
"('negative', 0.799)",negative,Sad,"('Sad', 0.27344776660178083)",When acted in negative way at certain moment by laziness to concede moment of the time thought to be my own.
"('positive', 0.868)",positive,Sad,"('Sad', 0.32612693749703936)",When met my mother after months of absence.
"('neutral', 0.658)",neutral,Fear,"('Fear', 0.36989561426387435)",When whatched horror film on Friday th.
"('negative', 0.864)",negative,Angry,"('Angry', 0.293008991244151)",Discussing with certain person about job was getting and that perosn was negative and pessimistic.
"('negative', 0.699)",negative,Sad,"('Sad', 0.5016022383275138)",When felt lack of aid from close friends.
"('negative', 0.479)",negative,Fear,"('Fear', 0.4557764883229702)",When saw fight had physical reaction of disgust and of deep perturbation.
"('negative', 0.591)",negative,Fear,"('Fear', 0.2945486578659956)","Walking on the street passing by an air duct, my skirt went up."
"('positive', 0.769)",positive,Happy,"('Happy', 0.26081426032035077)",Being disloyal with persons loved.
"('positive', 0.925)",positive,Happy,"('Happy', 0.2824448826650314)",got present from great friend (a dog).
"('negative', 0.887)",negative,Sad,"('Sad', 0.38927964831462114)","There was scene of shooting in front of my house, was very afraid. Two armed men confronting. didn't discover the reason of the incident."
"('negative', 0.944)",negative,Angry,"('Angry', 0.4351334665921827)",was waiting to receive the participation on the profits and did not receive it.
"('negative', 0.965)",negative,Sad,"('Sad', 0.4448417685999234)",didn't get the job wanted.
"('negative', 0.917)",negative,Fear,"('Fear', 0.4880539803593887)",went to eat at my aunt's house and she served macaroni with horrible appearence. felt the sensation above. The worst was that was practically obliged to eat.
"('negative', 0.497)",negative,Fear,"('Fear', 0.3542316970663948)",When saw my father coming out of the bathroom. He thought that he was alone at home and came out without his clothes.
"('positive', 0.384)",positive,Angry,"('Angry', 0.3414633570940826)",When misled person: said that would do her favour and didn't.
"('negative', 0.583)",negative,Sad,"('Sad', 0.44856339711591087)",When can see my parents because now am far from them.
"('positive', 0.517)",positive,Angry,"('Angry', 0.260537711507456)",When sit for examinations.
"('negative', 0.475)",negative,Angry,"('Angry', 0.3343910909855331)","Once, during performance did not sing the way had to."
"('positive', 0.85)",positive,Sad,"('Sad', 0.594120980336278)",When got separated from the woman loved.
"('neutral', 0.455)",neutral,Sad,"('Sad', 0.29570653845847594)",When the Americans set their nucleaar missiles in Europe.
"('negative', 0.504)",negative,Angry,"('Angry', 0.4476320472998022)","When don't say the truth, when don't do certain thing thanks to my laziness."
"('negative', 0.95)",negative,Bored,"('Bored', 0.29914962435272396)",Once promised to do something but didn't do it.
"('neutral', 0.5)",neutral,Sad,"('Sad', 0.39027798621601123)",When was admitted to the Bulgarian State Conservatoire.
"('negative', 0.576)",negative,Sad,"('Sad', 0.4370797195510764)",am afraid if I'll finish the term.
"('negative', 0.823)",negative,Angry,"('Angry', 0.4339610555260455)",was angry when my abilities of singer were underestimated.
"('negative', 0.79)",negative,Sad,"('Sad', 0.6922139577746289)",feel sadness from the fact that was not born with better appearance.
"('negative', 0.968)",negative,Angry,"('Angry', 0.45749649281000104)",was disgusted with the hypocrisy of my colleagues from the group.
"('negative', 0.715)",negative,Sad,"('Sad', 0.3325945301596353)",Shame feel when am not properly dressed.
"('positive', 0.66)",positive,Sad,"('Sad', 0.42926449326794075)",sense of guilt felt once when couldn't defend the confidence my teacher had in me and thus discrediting him at concert.
"('positive', 0.796)",positive,Excited,"('Excited', 0.2698430251186771)",have new born child.
"('negative', 0.832)",negative,Angry,"('Angry', 0.42201578447636373)",could have been killed by falling object.
"('negative', 0.677)",negative,Sad,"('Sad', 0.6391055092643396)",At certain situation felt myself neglected and undeservedly harmed.
"('negative', 0.773)",negative,Sad,"('Sad', 0.5384160252012036)",The sudden death of one of my parents.
"('negative', 0.798)",negative,Sad,"('Sad', 0.7760681533486671)",Getting separated from my family for week caused me sense of sadness.
"('negative', 0.672)",negative,Sad,"('Sad', 0.2928745716803495)","felt it when saw colleague of mine eating like beast. At the same time he was making gestures, speaking and making the hell of noise."
"('negative', 0.912)",negative,Sad,"('Sad', 0.32969804401347413)",felt sense of shame when compromised colleague of mine. got an information from him which quite out of place shared with another colleague of mine and it resulted in an unpleasant consequence for him.
"('negative', 0.47)",negative,Sad,"('Sad', 0.36072328004800824)",promised to fulfill an errand. Later understood it was impracticable. The explanation gave was accompanied by sense of guilt.
"('positive', 0.962)",positive,Excited,"('Excited', 0.4124633682855522)","felt joy most strongly some years ago, when took part in NH Competition and was the first."
"('negative', 0.669)",negative,Sad,"('Sad', 0.4443506274226764)",feel fear when only imagine could lose confidence in my own abilities and powers. similar feeling feel sometimes before an exam.
"('negative', 0.521)",negative,Angry,"('Angry', 0.5694710844137273)","feel anger when see \parent\"" beating and punishing his child Ã¡,in the street. Recently was withness of similar case."""
"('negative', 0.54)",negative,Sad,"('Sad', 0.607449475671656)",feel sadness when only imagine that could lose close person. Some time ago lost man whom aI greatly respected.
"('negative', 0.778)",negative,Angry,"('Angry', 0.286233894294716)","similar feeling felt quite recently while travelling in taxi. The driver treated me roughly and dishonestly he chose the longest route, he overdrawed almost one lev more and he tried to be intimate with me."
"('positive', 0.674)",positive,Happy,"('Happy', 0.3096894096190208)","Some days ago fell down at public place, came into notice but thank God was not mocked at. Though it hurt badly, at the first moment felt shame, not ache."
"('negative', 0.662)",negative,Sad,"('Sad', 0.36508202641619497)","felt guilty because of the pain caused to very close friend. But over the feeling of guilt, my conviction of being right dominated."
"('positive', 0.938)",positive,Sad,"('Sad', 0.3612891368391001)","When my nephew was born. The birth was hard, it was big baby."
"('negative', 0.604)",negative,Happy,"('Happy', 0.21475170992783044)",Late one night was pursued by gipsies who had no good intentions.
"('negative', 0.881)",negative,Angry,"('Angry', 0.4096361284404119)",My brother accused me undeservedly before my parents. was not guilty. He was misled by his wife.
"('negative', 0.695)",negative,Sad,"('Sad', 0.5076610499748245)",When left my boyfriend. found another girl at his home but he did nothing to relieve the situation.
"('negative', 0.544)",negative,Sad,"('Sad', 0.31128645478691197)",found big black beetle in my coffee cup. It was alive big and it was moving its limbs.
"('negative', 0.895)",negative,Sad,"('Sad', 0.35575755390156855)",When had to prepare and read paper to my fellow students but didn't cope with the task.
"('negative', 0.942)",negative,Angry,"('Angry', 0.38775441689446044)",had thrown with the ashtray still lighted cigarette in the plastic wastepaper basket. It had burnt out and my landlords made me row that might had set their flat on fire.
"('positive', 0.456)",positive,Happy,"('Happy', 0.38697634781391577)",Some time ago was present at the wedding party of two close friends of mine.
"('negative', 0.595)",negative,Fear,"('Fear', 0.44527502381193457)",was crossing the street together with some colleagues of mine when suddenly found myself almost under the wheels of truck.
"('negative', 0.954)",negative,Angry,"('Angry', 0.6372308114537208)",Someone stole my ski at Vitosha and of course was the one to be blamed. left them without supervision.
"('positive', 0.481)",positive,Sad,"('Sad', 0.6517855231768936)",got separated form my closest friend. He went to work abroad.
"('negative', 0.551)",negative,Fear,"('Fear', 0.2845943629796345)",drunk man had fallen in the street and he was shouting obscene words.
"('neutral', 0.453)",neutral,Excited,"('Excited', 0.3374263507784789)",had borrowed some money and exceeded the time-limit.
"('negative', 0.891)",negative,Sad,"('Sad', 0.4468748092708191)",couldn't fulfill promise.
"('positive', 0.952)",positive,Happy,"('Happy', 0.44335296130951646)","An encounter with man whom love, after very long separation."
"('negative', 0.958)",negative,Sad,"('Sad', 0.4455537872573119)","woke up in the middle of the night of nightmare, was alone, it was very quiet and very dark."
"('negative', 0.506)",negative,Angry,"('Angry', 0.2088113621764365)",shop-assistant behaved rather roughly with me though she hadn't the slightest grounds for it.
"('negative', 0.596)",negative,Sad,"('Sad', 0.6637114865116205)",saw friend of mine who had suffered very heavy contusion after an accident.
"('positive', 0.596)",positive,Fear,"('Fear', 0.34318560899406536)",caught glimpse of black-beetle.
"('positive', 0.9)",positive,Fear,"('Fear', 0.2681084170486705)",was made very sharp remark at rehearsal.
"('negative', 0.769)",negative,Sad,"('Sad', 0.439610238317911)","couldn't fulfill request of girlfriend of mine, though categorically promised her and believed there wouldn't be any hindrance. It was partly for objective reasons but also because couldn't organize myself."
"('positive', 0.898)",positive,Excited,"('Excited', 0.5198162075089928)","At success of mine, at real achievement."
"('positive', 0.471)",positive,Sad,"('Sad', 0.3301824201430557)","was looking after dying patient at work one night, young woman, my colleague was talking to her relatives and .... to offer them any support emotionally, physically and then sent them down to the coffee shop to have dinner rather than offering the facilities available for their use cause it involved her having to do some work. Seeing them again felt disgusted at her attitude."
"('negative', 0.967)",negative,Fear,"('Fear', 0.3587463812135271)","put on lot of weight in few months and every time met someone knew would avoid them, usually by hiding because my self image was low and was ashamed of what had done to myself."
"('positive', 0.604)",positive,Happy,"('Happy', 0.2352966782821286)","was involved in ... attempt on man had developed close warming relationship with. Although knew had done everything could and that his progress of \normal\"" life was poor felt Ã¡,guilty as if could have done more."""
"('positive', 0.855)",positive,Sad,"('Sad', 0.47498692643538654)",For the first time in my life telling someone loved them.
"('negative', 0.786)",negative,Sad,"('Sad', 0.5333509739807292)","When was ringing up guy who was my teen idol, and was in Auckland. was really scared, didn't know what to say or do."
"('negative', 0.735)",negative,Angry,"('Angry', 0.3008149559959037)","When my mother decided to clean out my room and throw out what she thought was junk, without my knowing about it, so returned home to find half my stuff gone."
"('negative', 0.664)",negative,Sad,"('Sad', 0.6786318176319855)",When couldn't find my dog which was missing.
"('negative', 0.936)",negative,Angry,"('Angry', 0.4455676659362679)",was disgusted with friend's behaviour when she got absolutely drunk so that she vomitted all over my house.
"('negative', 0.716)",negative,Angry,"('Angry', 0.3005538254974751)","was taking place in an anti nuclear protest and was shouting protest loudly to some American sailors of the U.S. Texas submarine. guy came up to me and said that's your brother screaming at, felt shame and realized screaming at another person isn't good protesting. Now I'm silent protester."
"('negative', 0.892)",negative,Sad,"('Sad', 0.4045186547905493)","felt guilty after getting really angry with friend and having an argument. was being stubborn and proud, and selfish, because my friend let me down, through no fault of her own."
"('positive', 0.983)",positive,Happy,"('Happy', 0.48692146451483076)","When met my boyfriend and we discovered that we shared the same ideals and goals in life, and that we could share all our feelings and thoughts and felt that the world's not so bad when you have someone really close to share your life with."
"('negative', 0.538)",negative,Angry,"('Angry', 0.25894507316641047)","had called boy who had dated me, and told him that was ill, while, actually, didn't want to go out with him, later on, he asked me if was feeling better, then felt ashamed."
"('negative', 0.703)",negative,Sad,"('Sad', 0.4657265672614006)",When hurt my parents in one way or another.
"('positive', 0.513)",positive,Excited,"('Excited', 0.265113953894207)",When passed the driving test after three failures.
"('negative', 0.934)",negative,Angry,"('Angry', 0.5388158911924505)",When nearly caused traffic accident with my car.
"('negative', 0.551)",negative,Angry,"('Angry', 0.3156531854802455)","When playing football match, there was one player who made mean tackels, kicked at everything and did things having nothing to do with football."
"('negative', 0.712)",negative,Sad,"('Sad', 0.3478613359585223)",close friend decided to stop with his study and to go back home.
"('positive', 0.553)",positive,Happy,"('Happy', 0.3012918920424652)",We had birthday party with friends. One of us frequently used hard drugs. On the party discovered that the other friends also used them. While we agreed we would help the big user to stop using it.
"('negative', 0.549)",negative,Sad,"('Sad', 0.25270266020771154)","During family reunion, they started talking about me wearing an ear-ring."
"('negative', 0.717)",negative,Sad,"('Sad', 0.4001837134185951)","It was my mother's birthday. My father and used to buy present together. However, now had bought something together with my girlfriend and forgot to ask my father."
"('positive', 0.771)",positive,Happy,"('Happy', 0.28936319416962103)",For instance when girl is interested in me and likes me.
"('neutral', 0.57)",neutral,Excited,"('Excited', 0.28359648575860386)","Walking at friday night through Nijmegen, going to pub or disco."
"('negative', 0.939)",negative,Sad,"('Sad', 0.4334823643526194)",felt dusgust with self-iterested person who ruined the life of another by means of utterly unfair methods.
"('negative', 0.754)",negative,Sad,"('Sad', 0.25390519737172784)",didn't do an important job and it had an adverse effect on other people.
"('positive', 0.699)",positive,Excited,"('Excited', 0.34487471475557985)",stroke person undeservedly.
"('positive', 0.834)",positive,Excited,"('Excited', 0.3006788602025309)",sensed this feeling when passed successfully the second tour of competition.
"('negative', 0.838)",negative,Sad,"('Sad', 0.5051962811530586)",felt fear when my mother was heavily ill.
"('negative', 0.973)",negative,Angry,"('Angry', 0.7177518234920682)",felt anger against colleague of mine during rehearsal in acting. He hadn't learnt the text of an opera act in the course of several months and thus making difficulties for the rest of my colleagues.
"('positive', 0.818)",positive,Sad,"('Sad', 0.8708493360379423)",felt sadness when had to get separated from the woman loved who had to leave for her motherland.
"('negative', 0.62)",negative,Sad,"('Sad', 0.2713999066794713)","felt disgust with the alcohol, after happened to see young man, who was dead to the world and who wallowed on the pavement. This \sight\"" watched from the bus."""
"('negative', 0.912)",negative,Bored,"('Bored', 0.44206834594227384)","felt shame and couldn't look into my teacher's eyes, after not attending his lectures."
"('negative', 0.864)",negative,Sad,"('Sad', 0.47990058931453294)",felt guilty after battered to death classmate of mine.
"('positive', 0.979)",positive,Excited,"('Excited', 0.5494080997200802)","was happy when at difficult times could find support in my friend and my fiancT, was happy because of their spiritual and moral help which gave me new power to struggle. was happy then, felt it in my soul."
"('negative', 0.801)",negative,Fear,"('Fear', 0.48543102347302897)",felt it at the same time when felt disgust.
"('negative', 0.839)",negative,Sad,"('Sad', 0.38058964570180887)",felt it on the same occasion when felt sadness which finally grew into anger.
"('negative', 0.86)",negative,Sad,"('Sad', 0.5476969811509432)",My living and working conditions at home were unbearable. We used to live in three room flat together with two more families. The discords caused change one of the families moved out. The other family stayed with us but drifted away from my fiancT. In fact we were two families in the flat. Then found myself alone in the struggle for this life because my fiancT did not stay next to me my grief and sorrow took on large proportions. wanted to commit suicide but instead threw myself against the cause of the irritation.
"('negative', 0.98)",negative,Angry,"('Angry', 0.6110630092154477)","am disgusted with my sister's husband. On an early Sunday morning after having knocked at my door, he suddenly rushed in and finching me still in bed he began quarrelling about something. could not understand. heard his last words: \Don't Ã¡,stare at me so because I'll beat you in your bed\"" got up Ã¡,terrified and thrashing followed."""
"('negative', 0.902)",negative,Angry,"('Angry', 0.4791438866773119)",feel shame mixed with anger with the behavior of some incultivated people because my fiancT is foreigner.
"('negative', 0.869)",negative,Sad,"('Sad', 0.4673823349571123)",felt guilt because on account of my ambitions nearly turned my sister out of my parents home.
"('positive', 0.764)",positive,Sad,"('Sad', 0.5381828074401962)",That was what felt when was finally accepted in the Bulgarian Conservatorie after had applied couple of years.
"('negative', 0.79)",negative,Fear,"('Fear', 0.4212556848182419)",experienced this feeling when the doctors found nodule in one of my mother's breasts. It turned out to be an occlusion resulting from continious sucking but for few days was not in my reason.
"('negative', 0.929)",negative,Angry,"('Angry', 0.3688498098616433)",had an accident with trafic police car that was packed at curve without any visibility and against all traffic regulations in strong snowstorm. As result still cannot repair my car because of the missing spare parts.
"('positive', 0.645)",positive,Sad,"('Sad', 0.6235710914607723)","sudden doubt made me run for long time in rainy autumn night. When reached the intended place saw my beloved in another man's arms. sudden blow, grief, cannot qualify it, it is painful for me to remember about it."
"('negative', 0.731)",negative,Sad,"('Sad', 0.35116442508661383)","felt disgust with man had trusted and respected, to whose problems had always shown deep understanding."
"('negative', 0.942)",negative,Fear,"('Fear', 0.4910084683246654)",was given the task to learn page of music text for small part. But had forgotten all about it and felt quite awkward when had to show what had prepared.
"('negative', 0.846)",negative,Sad,"('Sad', 0.48925919110031035)",Some time ago slapped my son without trying to understand who the real culprit of damage was. After that felt guilty and bad but it was too late.
"('positive', 0.993)",positive,Happy,"('Happy', 0.5073854582166799)",My boyfriend made me proposal.
"('negative', 0.699)",negative,Fear,"('Fear', 0.5041944483613685)",was to be given an audition to get role. had competitress and wasn't well prepared because was ill.
"('positive', 0.575)",positive,Excited,"('Excited', 0.3589918720170095)","whole crowd of us went to folklore festival. The instructor of the cast where my boyfriend played was traveling with us. We decided to catch the train that leaved early in the morning because we had business on the following day. The instructor tried to get the upper hand and made us catch the train in spite of everything, all the time he made me angry."
"('positive', 0.786)",positive,Happy,"('Happy', 0.36332328552422866)",When quarrelled with my boyfriend.
"('negative', 0.956)",negative,Angry,"('Angry', 0.6380137570077239)",am disgusted with the fact that bad singers play at the opera (and not only there) only because they are protegTs or lovers of an important felow while at the same time some young and able singers work in quite different field of life.
"('positive', 0.512)",positive,Fear,"('Fear', 0.4962624038105188)",feel shy to show all my worth when work for the first time with conductor or producer unfamiliar to me.
"('negative', 0.675)",negative,Angry,"('Angry', 0.6028781190918279)",offended my mother.
"('positive', 0.493)",positive,Fear,"('Fear', 0.3316115899540553)",When heard what mark had got at the entrance examination and realized my admittance to the University was almost certain.
"('negative', 0.961)",negative,Sad,"('Sad', 0.6296631413166883)",Once was alone at home. suddenly felt unwell and there was no one to help me and call First Aid.
"('negative', 0.692)",negative,Sad,"('Sad', 0.29475408118527463)",When was admitted to Language school. On the day when was informed by message and my parents congratulated me.
"('positive', 0.419)",positive,Excited,"('Excited', 0.3042729014870272)",When diving deep into the sea to reach the floor felt breathless. was cautious but doubted should be able to come to the surface and inhale.
"('negative', 0.476)",negative,Sad,"('Sad', 0.3962353164094562)",When my friend (girl) promised to help me go to the hospital and be examined by good experts and she deceived me.
"('positive', 0.832)",positive,Sad,"('Sad', 0.7797472147073689)",When had stayed abroad for long time and had remembered about my friends and relatives. felt sad and wanted to see them as soon as possible.
"('positive', 0.744)",positive,Sad,"('Sad', 0.47064829638217953)",felt it when saw our headmaster blushed ingratiating himself with high ranking officials.
"('positive', 0.466)",positive,Fear,"('Fear', 0.2628742714764585)","When hadn't learnt my lesson and asked the teacher to give me \a three\"" and he agreed but even he felt quite awkward.,NB: In Bulgarian schools \""a three\"" is the second worst mark."""
"('negative', 0.829)",negative,Angry,"('Angry', 0.4543626256516063)",When shouted and quarrelled and for no reason had been rude to my mother and when my behaviour had been influenced by other outward factors.
"('positive', 0.684)",positive,Excited,"('Excited', 0.599368040791435)","When you are satisfied with something, when you achieve something you have striven to."
"('neutral', 0.443)",neutral,Fear,"('Fear', 0.2884284114197207)","One fears many things, for example one fears going to the dentist. but as far as am concerned this feeling is connected with the examination session."
"('positive', 0.581)",positive,Happy,"('Happy', 0.2671998910722717)",When you are unjustly assessed at something you are sure to have been right.
"('negative', 0.754)",negative,Sad,"('Sad', 0.7171771057623652)","For the loss of close friend or relative, but you feel grief when you are away from home, too."
"('negative', 0.932)",negative,Bored,"('Bored', 0.32794250421833565)",They wanted something to happen but didn't.
"('negative', 0.546)",negative,Angry,"('Angry', 0.2812353163551309)",couldn't be with girl on whom was very keen.
"('positive', 0.505)",positive,Fear,"('Fear', 0.30667707060547467)","and my friends got acquainted with guy from Sofia who turned out to be gay, but we found that out only after or days."
"('positive', 0.766)",positive,Happy,"('Happy', 0.26621596306017353)",My first girlfriend. had the feeling that she was going out with me only because of my defect.
"('negative', 0.907)",negative,Sad,"('Sad', 0.7106696762386651)",Years ago ran away from home which disappointed my parents.
"('positive', 0.9)",positive,Excited,"('Excited', 0.46881905774123966)",Having passed an exam.
"('negative', 0.9)",negative,Sad,"('Sad', 0.45486759869406923)",Having car accident.
"('negative', 0.679)",negative,Sad,"('Sad', 0.5271325559254857)",shared secret with friend and it later turned out that he had revealed it to another person with whom didn't get along very well.
"('positive', 0.627)",positive,Sad,"('Sad', 0.5673108516967101)",The loss of very good friend.
"('negative', 0.807)",negative,Angry,"('Angry', 0.38134192228559893)",Negative statement concerning me of friend before strangers.
"('positive', 0.609)",positive,Happy,"('Happy', 0.3431882189412609)","Adultery with the girlfriend of friend of mine, of which he learned."
"('positive', 0.715)",positive,Happy,"('Happy', 0.3695262437851963)",Adultery with friend's girlfriend.
"('positive', 0.909)",positive,Happy,"('Happy', 0.3573052731433994)",I'm glad when have good relations with my colleagues and most of all when we are at party.
"('positive', 0.629)",positive,Sad,"('Sad', 0.3395067532026102)",experienced it once when we were on drive. Our car passed by the one comming from the opposite direction at an incredibly small distance.
"('negative', 0.688)",negative,Angry,"('Angry', 0.5745060793248407)","get angry with people who attain certain status without deserving it, only with the support, authority and influence of other people."
"('negative', 0.728)",negative,Sad,"('Sad', 0.6781262814171131)",feel sad when see things done against men and nothing could stop it at least think so.
"('negative', 0.823)",negative,Fear,"('Fear', 0.35781900598101624)",have experienced disgust with some people usually double dealers.
"('negative', 0.97)",negative,Sad,"('Sad', 0.4356312143331182)",am ashamed when am not prepared in subject and have to answer in the presence of the patients.
"('negative', 0.98)",negative,Sad,"('Sad', 0.3774066942024334)",feel guilty when should have done something at any rate but haven't done it.
"('neutral', 0.444)",neutral,Sad,"('Sad', 0.3389790077642338)",experienced it when was accepted at the Medical Higher Institute.
"('negative', 0.602)",negative,Sad,"('Sad', 0.28535370009509886)",felt it when sat for my exam in anatomy.
"('negative', 0.682)",negative,Sad,"('Sad', 0.3338941546413611)",experience that feeling when am unsulted without deserving it or when someone deceives me.
"('positive', 0.463)",positive,Sad,"('Sad', 0.7813406831209081)",When my grandfather died.
"('negative', 0.953)",negative,Angry,"('Angry', 0.41828422274658933)","feel disgusted with toadies, hypocrites, chameleons."
"('negative', 0.498)",negative,Sad,"('Sad', 0.2711449509515563)",When do something unworthy.
"('negative', 0.698)",negative,Angry,"('Angry', 0.48615970532364583)",When offended my parents without wanting it.
"('positive', 0.973)",positive,Happy,"('Happy', 0.3963580673174773)",After each successfully passed exam am happy.
"('negative', 0.663)",negative,Fear,"('Fear', 0.3728409502388641)",friend of mine gave birth to child. Very dangerous delivery. was afraid for her and for the baby.
"('neutral', 0.645)",neutral,Angry,"('Angry', 0.49668951506556974)","get angry when someone imputes on me things never can do, naturally negative. Servility, \connections\"", impudence, traits Ã¡,that get me mad."""
"('positive', 0.661)",positive,Sad,"('Sad', 0.5897914338662037)",My brother is soldier. He promised to come home in furlough but in the last moment he phoned and said that he could not come.
"('negative', 0.957)",negative,Angry,"('Angry', 0.5866476855871449)","am disgusted with liers, hypocrites, slanderers, flunkeys."
"('negative', 0.872)",negative,Sad,"('Sad', 0.43135081219132776)",Recently saw young girl fawning on man. And what for money and things. was ashamed to be woman.
"('negative', 0.668)",negative,Sad,"('Sad', 0.33398522484399484)",When have been overhastingly offending or hurting.
"('positive', 0.575)",positive,Sad,"('Sad', 0.25626205557193843)",After the term exams happened to meet person that respect and of whom think very highly. It was nice that although we see each other rarely he had not forgotten me.
"('positive', 0.674)",positive,Sad,"('Sad', 0.8005472413701115)",Few years ago my father was very ill. He stayed at hospital for long time. Then experienced that terrible feeling that might lose him.
"('negative', 0.769)",negative,Sad,"('Sad', 0.3983832411220456)",have friend that deeply trusted but it happened that lost my confidence in her for which she herself was to blame.
"('negative', 0.877)",negative,Sad,"('Sad', 0.6144819611689601)","We are several friends but our characters are very different and we inevitably split in the two extremes. It is sad that myself don't know what to do, try not to hurt either of the \parties\"" Ã¡,because there are conflicts to which one should belong."""
"('negative', 0.841)",negative,Fear,"('Fear', 0.34353856131048954)","stayed for several weeks with friend of mine before she moved to live with her husband. One evening he came drunk and made an awful scene, which still remember."
"('negative', 0.635)",negative,Sad,"('Sad', 0.37863083146198134)","In the past experienced this feeling almost all the time wherever went, in different sutuations. was small and had to be taken to kindergarten, but me the fool didn't dare to tell exactly where, finally as result was late."
"('negative', 0.745)",negative,Angry,"('Angry', 0.3904458472579888)","My roommate got married and invited me to share flat with them. But with young couple there should not be third person. am to blame for not following the advise of the others, but it is not late still."
"('negative', 0.468)",negative,Sad,"('Sad', 0.29828871163028575)","experienced this feeling when was accepted as student. Because everything turned out different from my expectations. Although passed the exam successfully was accepted as student only when didn't expect it at all, namely at the beginning of September."
"('negative', 0.465)",negative,Fear,"('Fear', 0.2885408170725909)",In the real sense of the word experienced fear in my first months in the army. During my first night of duty. The cause for all this was bear. became panic sticken (may be for the first time) and even forgot that had gun.
"('negative', 0.521)",negative,Excited,"('Excited', 0.23997862030072814)",When was soldier quarrelled with my commander and may be in revenge for this he detailed me on duty two successive nights. Naturally he checked me up on the second night and found me asleep for which he sent me to the cells.
"('positive', 0.523)",positive,Sad,"('Sad', 0.5386856091545935)",Sometimes experience sadness for the Sports High School and for my unrealized dreams in the sport. Anyway there spent six years of my life.
"('positive', 0.415)",positive,Fear,"('Fear', 0.3185898621990343)","Sort of awkward. I'd introduced (a lover) but introduced as friend to some members of my family, and my niece Yavanna who's six was home from school and at Mum's and Dad's and was really silly and at first it was ok, but it went on and on yukky pooh! You eat your snot, etc. and felt cross she wouldn't stop. But she had an audience and was in one of those moods. Once I'd accepted it was something everyone does at time felt better it was partly having my friend there."
