ParallelSentiScore,ParallelSentiment,ParallelTone,ParallelToneScore,content
"('negative', 0.351)",negative,Bored,"('Bored', 0.19834328717938218)",Rand care more about uphold and apply the constitution than any of the other
"('neutral', 0.656)",neutral,Bored,"('Bored', 0.40641670977417527)",dont worry about She be only person on stage hear ego talk
"('positive', 0.781)",positive,Excited,"('Excited', 0.27133312415782407)",Trump slam Kelly via
"('neutral', 0.691)",neutral,Angry,"('Angry', 0.2982783522554391)",Rick at The Register soapbox A who get do
"('positive', 0.665)",positive,Excited,"('Excited', 0.48407742998795666)",The God these men worship be money
"('neutral', 0.574)",neutral,Excited,"('Excited', 0.5150722293567067)",be tough for all via joe
"('negative', 0.944)",negative,Angry,"('Angry', 0.41906381441951784)",total failure cancel fox news on my cable Done
"('neutral', 0.461)",neutral,Sad,"('Sad', 0.26435728317630786)",It really look like FOX be go after
"('neutral', 0.554)",neutral,Bored,"('Bored', 0.28593129919865673)",Leave it to to have a real be a without a single item debate
"('positive', 0.959)",positive,Excited,"('Excited', 0.3968220995564453)",Best recap of last nights from = And Ted and Mike be there too
"('negative', 0.757)",negative,Bored,"('Bored', 0.3233963491729465)",Last nights what merit attention and which be ignore
"('neutral', 0.591)",neutral,Bored,"('Bored', 0.34829326101995)",wouldnt give him any national security question so watch Rick at New
"('positive', 0.535)",positive,Fear,"('Fear', 0.2920169346936839)",Wonder how Martin feel about that culture of life
"('neutral', 0.686)",neutral,Fear,"('Fear', 0.23982965056909994)",Hey what do your dad do for a live
"('negative', 0.523)",negative,Bored,"('Bored', 0.443960045868096)",Walker on this be say he wish he have more time to talk at last night
"('negative', 0.698)",negative,Bored,"('Bored', 0.4421608207818622)",Pretty funny night but these men be so childish to be Like this smack high where its just throw shade
"('neutral', 0.534)",neutral,Excited,"('Excited', 0.4253032850033138)",Dye I think we have a WINNER
"('positive', 0.673)",positive,Excited,"('Excited', 0.29609679962049573)",The reality show be over try to get back to the day but so obsess with the hilarious that be generate
"('negative', 0.505)",negative,Bored,"('Bored', 0.2652661918785723)",you lose of last be just go to beat ourselves AGAIN
"('neutral', 0.347)",neutral,Bored,"('Bored', 0.44106529527638644)",Some kind of debate be go on Meanwhile be debate over the best drum solo of all time Hot for Teacher or Sa
"('positive', 0.941)",positive,Bored,"('Bored', 0.25966482204727104)",I be wonder how they be go to fit everyone in but the set up look great
"('neutral', 0.482)",neutral,Excited,"('Excited', 0.26806439560819756)",First question of of party run be to give a disadvantage from the start
"('neutral', 0.871)",neutral,Excited,"('Excited', 0.5654866675829041)",come at you from every angle strike grind and pound arm bar unstoppable Or be I think of the
"('neutral', 0.696)",neutral,Fear,"('Fear', 0.2217800512250702)",win the poll in the debate What do that tell u r sick of the same politician song dance
"('positive', 0.961)",positive,Excited,"('Excited', 0.2991300209771444)",Great graphic from our partner at
"('negative', 0.954)",negative,Angry,"('Angry', 0.34804663614418113)",White people argue over their retirement plan Black people cant even live long enough to retire in this damn country
"('neutral', 0.434)",neutral,Fear,"('Fear', 0.38759375213298397)",have a responsibility to denounce the misogyny we saw last night at
"('positive', 0.811)",positive,Excited,"('Excited', 0.2891273804034792)",New Guardian column up on the only give to last less than a minute
"('negative', 0.515)",negative,Angry,"('Angry', 0.26573255007570645)",Fox News have declare itself the gun in the west and be still Outlaw Trump
"('neutral', 0.642)",neutral,Angry,"('Angry', 0.29874241751688363)",someone need inform that pick the wrong moderator get mouthy with Well do
"('negative', 0.664)",negative,Bored,"('Bored', 0.31149968981557297)",Why do NONE of the men respond to Name Calling question Thats abhorrent but name call pal next to sexual jihad
"('neutral', 0.564)",neutral,Fear,"('Fear', 0.2465376680205263)",FACT CHECK veer from the truth in st debate
"('negative', 0.619)",negative,Angry,"('Angry', 0.36167059025817877)",be unable to be reconcile with and have no interest in it They fight to win We need a conqueror not a placater
"('negative', 0.738)",negative,Angry,"('Angry', 0.26383057540023)",Kelly be a real slacker in the last night Not even one question on the Fox War On
"('neutral', 0.945)",neutral,Fear,"('Fear', 0.3255299966967657)",if you get drink watch the last night
"('neutral', 0.782)",neutral,Fear,"('Fear', 0.2823649172835363)",So who win
"('negative', 0.65)",negative,Fear,"('Fear', 0.3191762390533689)",In a shock twist during the debate Trump brag about how much money he have
"('neutral', 0.432)",neutral,Bored,"('Bored', 0.41784684112339543)",guy God be go to be on the debate next
"('neutral', 0.571)",neutral,Excited,"('Excited', 0.31499805334885)",BREAKING EXCLUSIVE PIC Trump meet the press after
"('neutral', 0.551)",neutral,Excited,"('Excited', 0.46718050352363016)",never give up your leverage before the negotiation start
"('positive', 0.499)",positive,Excited,"('Excited', 0.4777058651724062)",Sanders the via
"('negative', 0.642)",negative,Angry,"('Angry', 0.34827539452774153)",Nobody win and have fun My colleague s take on the
"('neutral', 0.609)",neutral,Excited,"('Excited', 0.3239503657150981)",who want to get SICKENING
"('negative', 0.867)",negative,Bored,"('Bored', 0.2797675012288281)",On the the question of abortion it be not a issue because no woman get pregnant by herself it be a humanity issue
"('negative', 0.432)",negative,Angry,"('Angry', 0.29947907735920465)",Becoming a parent be one of the biggest economic a woman can make These want to make that decision for
"('negative', 0.86)",negative,Bored,"('Bored', 0.29614911128405286)",Gave No About
"('negative', 0.66)",negative,Fear,"('Fear', 0.31200861721693235)",The thing about the most watch it in the same way watch some trashy reality show thats a big problem for
"('negative', 0.693)",negative,Bored,"('Bored', 0.2462468766934237)",be not a good communicator In last nights he sound like teacher to me
"('positive', 0.782)",positive,Happy,"('Happy', 0.24519764234349953)",What a show watch Republican Presidential Debate
"('negative', 0.796)",negative,Angry,"('Angry', 0.31291030853133756)",Why do that blonde keep laugh You look foolish and unprofessional YOUR FIRED
"('negative', 0.638)",negative,Sad,"('Sad', 0.3742954172671318)",God bless with good but the cant find one
"('neutral', 0.662)",neutral,Bored,"('Bored', 0.23659089117868373)",take with during
"('negative', 0.629)",negative,Bored,"('Bored', 0.3928016406598275)",be FED UP with the No more lie that only benefit
"('negative', 0.685)",negative,Bored,"('Bored', 0.4997508547336005)",Whats really disturb be think that people like would treat her fairly if they have that audience
"('neutral', 0.652)",neutral,Excited,"('Excited', 0.4928729860231348)",stand out mainly in the health department
"('negative', 0.649)",negative,Angry,"('Angry', 0.344474420460417)",if you agree The big problem this country have be be politically correct
"('neutral', 0.434)",neutral,Fear,"('Fear', 0.24528622259355307)",New credit rat have be downgrade time since become Governor
"('neutral', 0.645)",neutral,Excited,"('Excited', 0.22141903867798632)",go As if the rest of the debate wasnt embarrass enough the God question be when the rest of the world laugh at us
"('negative', 0.743)",negative,Angry,"('Angry', 0.26987295004268175)",practice answer R not impressive when u look at what they practice Ignore what they say its what DONE that matter
"('positive', 0.386)",positive,Fear,"('Fear', 0.2304337703994615)",bright spot in all this be that while might not be enough to galvanize the democratic base defeat Trump certainly be
"('positive', 0.981)",positive,Happy,"('Happy', 0.4146433981590368)",Kudos to Bill Excellent The prime time team be awful in comparison
"('negative', 0.759)",negative,Bored,"('Bored', 0.8093054129995779)",Where be your More tax cut rich yawn
"('negative', 0.412)",negative,Bored,"('Bored', 0.22446675398894342)",The purpose of the military be to kill people and break just say that And be violently tra
"('negative', 0.362)",negative,Bored,"('Bored', 0.4755494120037131)",The only candidate who stand out in any way be Even the be bland and colorless about i
"('positive', 0.545)",positive,Bored,"('Bored', 0.297306717558636)",be right when he say the be ignorant of the
"('neutral', 0.509)",neutral,Happy,"('Happy', 0.20235782782446723)",be we miss If arent concern poverty expect be
"('neutral', 0.47)",neutral,Bored,"('Bored', 0.22740053212963865)",be exactly right More new now come from not
"('negative', 0.755)",negative,Angry,"('Angry', 0.2934463388926939)",Well we didnt actually have an air force in the s That come after
"('neutral', 0.625)",neutral,Excited,"('Excited', 0.2582337033460415)",We need a President defend the Constitution and restore leadership in the world
"('positive', 0.749)",positive,Happy,"('Happy', 0.33236289188635537)",trust our and vilify our
"('positive', 0.523)",positive,Excited,"('Excited', 0.2814739294199702)",My take on performance at last nights he come off as irrelevant peripheral
"('negative', 0.568)",negative,Bored,"('Bored', 0.5910616439394109)",So tire people fall asleep before debate so watch the tap version now Excuse the after the fact tweet
"('neutral', 0.53)",neutral,Excited,"('Excited', 0.2747590044884998)",NOT ONE MENTION OF DISABILITY last night We need to educate all of both party to value us
"('negative', 0.968)",negative,Sad,"('Sad', 0.4881616766251131)",Cant believe theyre not show open set
"('positive', 0.847)",positive,Excited,"('Excited', 0.4614241783233732)",Ben A Homer
"('neutral', 0.651)",neutral,Fear,"('Fear', 0.40129484206499483)",When do you become a Republican Trump
"('positive', 0.539)",positive,Excited,"('Excited', 0.3940279986823264)",winner of the no one loser all mankind
"('neutral', 0.641)",neutral,Bored,"('Bored', 0.3106931335265187)",While post outside the I unwittingly come across Now I know who he be Onto the debate now
"('neutral', 0.727)",neutral,Happy,"('Happy', 0.20738784281311348)",Billy Graham say if God doesnt punish He should apologize to Pray be ban baby p
"('negative', 0.744)",negative,Sad,"('Sad', 0.4014617295187155)",of my face during the entire
"('positive', 0.531)",positive,Happy,"('Happy', 0.35450193535638724)",say this photo steal the thunder I have my own Love to hear yours
"('neutral', 0.66)",neutral,Bored,"('Bored', 0.3143431020029491)",I bet on Politics clearly will stick to of next
"('negative', 0.622)",negative,Bored,"('Bored', 0.41517341001049224)",The be a bunch of fake tan say no one care for It be basically the
"('negative', 0.958)",negative,Sad,"('Sad', 0.4904232311879748)",So disappoint never get to answer the God question
"('negative', 0.677)",negative,Bored,"('Bored', 0.3067657840465659)",Every country have something they be embarrass ashamed of For its the Republican Party
"('negative', 0.518)",negative,Sad,"('Sad', 0.2949496757867548)",The only have one leave hand candidate
"('negative', 0.536)",negative,Bored,"('Bored', 0.2878393482199449)",Why be everyone so against Common Core But we be with No Child Left Behind from Bush
"('positive', 0.541)",positive,Excited,"('Excited', 0.3255892130300928)",Godfather Of
"('negative', 0.502)",negative,Fear,"('Fear', 0.3362903102098259)",Trump on the border last week
"('neutral', 0.525)",neutral,Angry,"('Angry', 0.25662701396168974)",Instead of ask to pledge to support the nominee why not ask each candidate to support the Constitution
"('neutral', 0.683)",neutral,Excited,"('Excited', 0.4062632892667188)",The winner of the be anyone who didnt watch
"('positive', 0.55)",positive,Excited,"('Excited', 0.311952625383717)",straight wealthy men suddenly the authority on affordable reproductive right
"('positive', 0.884)",positive,Bored,"('Bored', 0.261422228555225)",Basically
"('positive', 0.909)",positive,Excited,"('Excited', 0.41535879794308744)",will be the best thing to happen to in history
"('negative', 0.487)",negative,Angry,"('Angry', 0.3712025079024379)",Mike people arent a social experiment With all due respect you sir
"('neutral', 0.605)",neutral,Excited,"('Excited', 0.4080852497919283)",Did tonight make you a fan of Be sure you take a moment and like our page
"('negative', 0.743)",negative,Happy,"('Happy', 0.3527164234549856)",You keep use this word I do not think it mean what you think it mean
"('negative', 0.813)",negative,Fear,"('Fear', 0.27376620215410685)",a recipient and barely get by with what I get a month The SNAP cut would cut many l
"('neutral', 0.713)",neutral,Fear,"('Fear', 0.2417525487801962)",Please note this be not a lie World only have of oil reserve leave Hello anyone listen
"('positive', 0.513)",positive,Bored,"('Bored', 0.2744368893955361)",A can access a of a woman be in a but Trump cant say a woman would look good on her
"('neutral', 0.717)",neutral,Angry,"('Angry', 0.31888636205275467)",try to please everybody succeed in please nobody
"('negative', 0.607)",negative,Angry,"('Angry', 0.32759332756515)",Trump personify money doesnt make you incredibly meanness doesnt come from a happy person
"('negative', 0.677)",negative,Fear,"('Fear', 0.4234563158435158)",I think the biggest problem this country have be be totally politically correct in
"('neutral', 0.531)",neutral,Excited,"('Excited', 0.4103053009829335)",win the last night via No argue this Sooner or later you ALL will start to
"('negative', 0.837)",negative,Angry,"('Angry', 0.3117089549496702)",but i dont eat my
"('neutral', 0.623)",neutral,Excited,"('Excited', 0.5837883054532779)",win
"('negative', 0.616)",negative,Angry,"('Angry', 0.2302470726648238)",didnt back away from expansion during last nights Dont oppose expansion base on ideology
"('neutral', 0.568)",neutral,Fear,"('Fear', 0.3665273552890673)",Do we really want someone like this in office
"('negative', 0.806)",negative,Fear,"('Fear', 0.3125943346344738)",Cant Believe the comment trash s hair style when be on stage of all people
"('negative', 0.658)",negative,Fear,"('Fear', 0.3078585166068291)",That wasnt a that be the st episode of new reality show Afraid Of A Billionaire The World laugh at us
"('positive', 0.979)",positive,Happy,"('Happy', 0.4160878792150893)",Thank you for your service to abroad the coverage of the
"('negative', 0.641)",negative,Bored,"('Bored', 0.33483950575053356)",be beyond He could cut into piece fee her to Mike disappointment his s would go up
"('positive', 0.554)",positive,Fear,"('Fear', 0.20941201235702772)",I hope have a comprehensive roundup of the so I can read it and act like I
"('negative', 0.875)",negative,Angry,"('Angry', 0.4437908936122597)",Political correctness Aint nobody get time for that
"('neutral', 0.621)",neutral,Excited,"('Excited', 0.28596472461616934)",You know what Fine it Time to vote for
"('positive', 0.656)",positive,Excited,"('Excited', 0.35790209196954376)",Trump I tell God to come to my wed and HE CAME
"('negative', 0.383)",negative,Bored,"('Bored', 0.273167029634525)",be anything but a debate Way to many on stage to make a true debate possible Was for rat
"('neutral', 0.47)",neutral,Bored,"('Bored', 0.37354904119810106)",have the personality of an off stage keyboard player during the on
"('positive', 0.711)",positive,Excited,"('Excited', 0.2457263426262969)",As usual s be right on
"('positive', 0.738)",positive,Happy,"('Happy', 0.38080614150944514)",I PRAY EVERYDAY TO MEET THAT IN A OF LAW
"('positive', 0.926)",positive,Excited,"('Excited', 0.4221310288806003)",At the in support of my amaze father I be very of you
"('negative', 0.397)",negative,Fear,"('Fear', 0.3135847499874082)",Lots of creepy plain clothe cop and body men protect
"('positive', 0.428)",positive,Excited,"('Excited', 0.32336227003441226)",I go long and hard on the debate for
"('negative', 0.658)",negative,Sad,"('Sad', 0.290713001608755)",Not only will I support it but I sponsor it dont want to enforce immigration
"('negative', 0.811)",negative,Sad,"('Sad', 0.41310478079494123)",dispel the fact that an objective moderator I love her show but her moderate not so much
"('negative', 0.848)",negative,Angry,"('Angry', 0.33706732887060314)",Interesting exchange until they start rudely insult each over nonsense other like on a schoolyard
"('neutral', 0.606)",neutral,Fear,"('Fear', 0.23789675361023183)",Reading tweet Id have more faith in Twitter run the country than any of those select
"('positive', 0.389)",positive,Fear,"('Fear', 0.39765831316325934)",Trump look like an that make something out of himself
"('positive', 0.48)",positive,Excited,"('Excited', 0.33021925179444045)",Big night in for alcohol poison
"('neutral', 0.52)",neutral,Bored,"('Bored', 0.25968534444661096)",Its time that we recognize the Supreme Court be not the Supreme be
"('negative', 0.578)",negative,Excited,"('Excited', 0.2964107615574183)",Expose him now Then he be The problem Not ours
"('neutral', 0.433)",neutral,Excited,"('Excited', 0.3732433609315352)",on this stage She kill it during dont miss her tomorrow on
"('positive', 0.629)",positive,Angry,"('Angry', 0.27537832012541397)",of |
"('negative', 0.974)",negative,Angry,"('Angry', 0.6665300069018185)",be horrible Seriously I hate more than any liberal alive today
"('neutral', 0.652)",neutral,Excited,"('Excited', 0.33526689256929454)",Check it out I write the National League of response to last nights debate
"('neutral', 0.757)",neutral,Excited,"('Excited', 0.592180188047733)",Go Go Go
"('negative', 0.409)",negative,Fear,"('Fear', 0.5214722321356495)",Did Graham Just Call Trump One Of The Top Ten Biggest On The Planet
"('positive', 0.517)",positive,Excited,"('Excited', 0.33264674169397423)",Four on the Republican Debate
"('positive', 0.454)",positive,Sad,"('Sad', 0.3076427475158257)",and just need one more Horseman
"('negative', 0.501)",negative,Sad,"('Sad', 0.2560542961675123)",Rick be the standout in the field of why
"('neutral', 0.827)",neutral,Bored,"('Bored', 0.20471183219996447)",Check the BACK of this OUT Please
"('positive', 0.711)",positive,Sad,"('Sad', 0.24780012317292513)",The economy
"('neutral', 0.722)",neutral,Fear,"('Fear', 0.235120266126634)",Would we be talk political correctness if be refer to instead of
"('positive', 0.604)",positive,Excited,"('Excited', 0.3445714738097211)",Quick update on Rand
"('neutral', 0.368)",neutral,Excited,"('Excited', 0.33851312055717236)",What be up with that God question at the end God
"('negative', 0.358)",negative,Fear,"('Fear', 0.25698738661805753)",What I learn from watch the People care more about a religiosity than their ability to govern
"('neutral', 0.56)",neutral,Excited,"('Excited', 0.3241042632714871)",Its funny that even the Republican Presidential last name mean blonde
"('positive', 0.941)",positive,Excited,"('Excited', 0.40569516695116975)",s turn in a solid performance
"('negative', 0.795)",negative,Angry,"('Angry', 0.4241045944194736)",YOUR BROTHER MADE ME DO NO CHILD LEFT BEHIND FOR
"('neutral', 0.641)",neutral,Excited,"('Excited', 0.3972075465426081)",WE MUST DEFEAT SOCIAL SECURITY
"('negative', 0.686)",negative,Bored,"('Bored', 0.3371613713690157)",During the last night
"('positive', 0.986)",positive,Excited,"('Excited', 0.34061102121546455)",More great coverage
"('positive', 0.992)",positive,Happy,"('Happy', 0.3867874982433617)",So excite to welcome to the great Palmetto State after a great last night
"('positive', 0.447)",positive,Bored,"('Bored', 0.36151320665551145)",But be say he be treat unfairly Yea Right
"('neutral', 0.7)",neutral,Excited,"('Excited', 0.34665419989867136)",stay up for the trump show
"('neutral', 0.557)",neutral,Angry,"('Angry', 0.3697204565408154)",Any candidate who promise to cancel the deal be a liar Doing so would destroy diplomacy across the board
"('negative', 0.507)",negative,Angry,"('Angry', 0.4189617460277761)",Note that be give a chance to hijack talk point last night despise Rick
"('positive', 0.795)",positive,Fear,"('Fear', 0.32327270154583393)",Finally get to read the coverage I crave on the Debate via
"('negative', 0.695)",negative,Sad,"('Sad', 0.6682262192056841)",This get me cry
"('negative', 0.46)",negative,Angry,"('Angry', 0.30963767259561625)",With all due respect to the you dont get to tell me who win the debate Thats for me to decide
"('neutral', 0.695)",neutral,Bored,"('Bored', 0.3794073364033346)",give the at on who in be say what about last nights
"('positive', 0.723)",positive,Sad,"('Sad', 0.25804318493584283)",Trump admit on national that he buy in the past Oh joy
"('negative', 0.401)",negative,Fear,"('Fear', 0.4513277205029869)",Just saw some of So weird see people cheer a dude say I wont let rap have
"('positive', 0.859)",positive,Excited,"('Excited', 0.2655905101534717)",A minister a doctor and business walk on a stage last night and make the most sense to me
"('positive', 0.457)",positive,Fear,"('Fear', 0.31255789287925057)",I have change my mind and be go to watch this weekend because nothing could be as bad as that
"('negative', 0.943)",negative,Bored,"('Bored', 0.30808925200945103)",not a single question on environmental protection The biggest failure of last nights ignore by media
"('neutral', 0.647)",neutral,Angry,"('Angry', 0.25809956691592195)",You mean to tell me I can stream an infinite amount of free but need a cable subscription for the Debate
"('negative', 0.56)",negative,Fear,"('Fear', 0.24476998201055675)",BREAKING Rick Straw Poll by WIDE margin to TRUMP Sure seem base debate on b
"('positive', 0.623)",positive,Happy,"('Happy', 0.23604138074857772)",OF COURSE the be sponsor by the most efficient method to share right wing lunatic fringe from extend family
"('negative', 0.469)",negative,Fear,"('Fear', 0.22614887331642272)",My biggest take away from be that and Walker be even more insufferable than I give them credit for
"('negative', 0.837)",negative,Angry,"('Angry', 0.4598272996506059)",How long will it take the stupid party to do what Trump do call out stupid statist butt speech
"('neutral', 0.436)",neutral,Fear,"('Fear', 0.2551345074874939)",First Republican Debate The Candidate Report Card via
"('negative', 0.749)",negative,Angry,"('Angry', 0.7745468841567482)",How dare the not elaborate on complex policy in a debate which limit with an sho
"('negative', 0.533)",negative,Angry,"('Angry', 0.2407434030780558)",New Poll lead by Trump lose by
"('neutral', 0.593)",neutral,Bored,"('Bored', 0.2747455767154826)",Thats right Call what they be You cant beat enemy if you dont identify who they be
"('neutral', 0.575)",neutral,Excited,"('Excited', 0.33446722471505475)",LIVE on MY Analysis
"('negative', 0.736)",negative,Fear,"('Fear', 0.3075454554238185)",Trump be a very scary man
"('neutral', 0.447)",neutral,Fear,"('Fear', 0.32330274436575207)",Watching last nights its clear that be the Id of the Republican party
"('negative', 0.594)",negative,Bored,"('Bored', 0.3270074302284807)",I be stun at how unprofessional the be What question for
"('negative', 0.58)",negative,Bored,"('Bored', 0.49427131251126655)",Not sure how long this will be up but here be full video of last nights
"('negative', 0.539)",negative,Bored,"('Bored', 0.22269232793653848)",This be what happen when you call out on
"('negative', 0.677)",negative,Angry,"('Angry', 0.2927375812178282)",i think you be the worst of the moderate last night not troll just say
"('negative', 0.781)",negative,Sad,"('Sad', 0.4024001012606215)",I be legitimately scar that any of those think they can be president I fear for my country
"('neutral', 0.709)",neutral,Excited,"('Excited', 0.2850807447200541)",church in should be burn Settler leader say
"('positive', 0.795)",positive,Fear,"('Fear', 0.32327270154583393)",Finally get to read the coverage I crave on the Debate via
"('negative', 0.69)",negative,Angry,"('Angry', 0.4339271231355882)",NOT FORGET no one have ever be shoot for not be politically correct no one have have their violate over it
"('positive', 0.512)",positive,Angry,"('Angry', 0.21282324172214892)",BREAKING have finally resurrect due to His st word be and want to apologize to all sane
"('negative', 0.881)",negative,Angry,"('Angry', 0.45614619274656465)",Anger Bear stay up too late and be throw around in his bedroom No video game for him today
"('negative', 0.658)",negative,Angry,"('Angry', 0.31176083094069007)",Now have on bash our This Devil say its to Kill a Baby Just before birth
"('positive', 0.47)",positive,Excited,"('Excited', 0.3779713941244875)",But get a lot of tonight
"('negative', 0.777)",negative,Fear,"('Fear', 0.2892617209414922)",How would you fix the police problem Trump What police problem
"('neutral', 0.688)",neutral,Excited,"('Excited', 0.2504806150571704)",give er Fox most speak time during first debate via Mirror
"('neutral', 0.568)",neutral,Fear,"('Fear', 0.3665273552890673)",Do we really want someone like this in office
"('neutral', 0.502)",neutral,Bored,"('Bored', 0.26127805355726874)",on point with response to When do you become a Republican
"('positive', 0.697)",positive,Excited,"('Excited', 0.37719365781144937)",The most important thing see tonight
"('positive', 0.588)",positive,Excited,"('Excited', 0.3724631889540547)",Just spend read the fee so hard I pop a blood vessel you funny as hell
"('negative', 0.414)",negative,Fear,"('Fear', 0.3779114021487279)",Mary Her Husband Tell All Dead
"('negative', 0.9)",negative,Angry,"('Angry', 0.44897024366892135)",The be basically just a televise circle jerk
"('negative', 0.479)",negative,Fear,"('Fear', 0.3043103555783932)",#NAME?
"('neutral', 0.803)",neutral,Excited,"('Excited', 0.38217472401166064)",Drudge poll now show say win debate come in second with
"('negative', 0.613)",negative,Fear,"('Fear', 0.31782543496235205)",Woke up think I have a hilarious dream but then I realize it be just the I watch last night
"('negative', 0.459)",negative,Bored,"('Bored', 0.2795185912509872)",By the way I will be make fun of the democrat debate be easy to mock when ANYONE say anything dumb
"('positive', 0.628)",positive,Excited,"('Excited', 0.4189730887494455)",Bush I support a culture of life I also pass the first Stand Your Ground law for those who prefer a culture of d
"('positive', 0.907)",positive,Happy,"('Happy', 0.23576899373704122)",The only good news out of be hopefully its the begin of the end of and
"('neutral', 0.45)",neutral,Angry,"('Angry', 0.2814619708708594)",take advantage of chapter the same way welfare fraud be commit Its all just game the system
"('negative', 0.808)",negative,Angry,"('Angry', 0.2635289313636502)",Very disappoint at some of the hostile question by Fox News or be it at especially those direct at Trump
"('neutral', 0.931)",neutral,Bored,"('Bored', 0.2810229456531924)",Anyone vote for
"('neutral', 0.691)",neutral,Excited,"('Excited', 0.3167941923172903)",Add me on for my morning analysis of the and Republican
"('negative', 0.433)",negative,Bored,"('Bored', 0.2513849882618048)",Politics with
"('negative', 0.394)",negative,Fear,"('Fear', 0.40002696872492477)",That be the sketch of
"('neutral', 0.569)",neutral,Excited,"('Excited', 0.36821165739250283)",win debate despite hatchet job unprofessional question bring quality down n
"('negative', 0.924)",negative,Angry,"('Angry', 0.32331265607235643)",As far as I can tell there be no Just a bunch of unhappy people who cant even agree what to be the most unhappy about
"('positive', 0.485)",positive,Excited,"('Excited', 0.22938503623923598)",speak of unlock the potential in people like and sound like a great leader
"('positive', 0.858)",positive,Excited,"('Excited', 0.7494688170273609)",Watching the republican party implode from within be magical
"('neutral', 0.84)",neutral,Fear,"('Fear', 0.26947067118111745)",Twitter mention last night in
"('negative', 0.687)",negative,Fear,"('Fear', 0.3298151852556489)",MAN THIS CAUGHT ME OFF GUARD
"('neutral', 0.895)",neutral,Fear,"('Fear', 0.2671271068068493)",Is it over hair do
"('neutral', 0.646)",neutral,Fear,"('Fear', 0.31549442612625955)",How much do it say about Martin Shorts talent that no one recognize him while in character
"('neutral', 0.522)",neutral,Angry,"('Angry', 0.3555714329014299)",Parenthood just about so keep your political away from my health and vagina
"('negative', 0.46)",negative,Fear,"('Fear', 0.3495190941545088)",not go to know who win until you see who attack as unqualified and frighten
"('positive', 0.483)",positive,Fear,"('Fear', 0.2367705899776894)",Frighteningly Trump via
"('neutral', 0.465)",neutral,Angry,"('Angry', 0.2955312137349314)",Its be ask what specifically a supernatural be tell them to do I dont want a who hear voice
"('positive', 0.476)",positive,Excited,"('Excited', 0.2959552793673348)",be like stand before me
"('negative', 0.663)",negative,Fear,"('Fear', 0.30230325442972283)",In an epic twist of irony Trump seem to have turn Fox against themselves
"('neutral', 0.447)",neutral,Bored,"('Bored', 0.43577117668929505)",fact check how the claim measure up to reality
"('neutral', 0.405)",neutral,Bored,"('Bored', 0.2680413734268166)",incense over abortion question for during
"('positive', 0.747)",positive,Excited,"('Excited', 0.3008005571305927)",I dont particularly agree with most of the time or any of Fox News for that matter but she be on point at the
"('negative', 0.761)",negative,Fear,"('Fear', 0.26696481617278567)",NEW STATEMENT on Its not a debate its an embarrassment
"('neutral', 0.811)",neutral,Fear,"('Fear', 0.31827593873694937)",sum up in one pic
"('neutral', 0.595)",neutral,Excited,"('Excited', 0.3181603925065568)",say he give his money so people will do what he want This be why we need to overturn
"('negative', 0.852)",negative,Angry,"('Angry', 0.3598029481603429)",Fox have be unprofessional so far
"('negative', 0.563)",negative,Sad,"('Sad', 0.24859402309350567)",I post this in about why the lose its still true
"('neutral', 0.928)",neutral,Excited,"('Excited', 0.2963822421735724)",make post trip to South from
"('positive', 0.621)",positive,Excited,"('Excited', 0.3174459451401825)",In honor of last nights debate A to me and out
"('negative', 0.673)",negative,Fear,"('Fear', 0.39279367588985337)",I never think to follow but after her comment about and the I resist
"('negative', 0.876)",negative,Bored,"('Bored', 0.27417437709734527)",why arent you discuss last nights
"('negative', 0.357)",negative,Sad,"('Sad', 0.2154286745316493)",I think most in understand that people not the government create job
"('negative', 0.665)",negative,Sad,"('Sad', 0.37095405505871537)",Why Is Rand The Top Target Read more here
"('negative', 0.726)",negative,Sad,"('Sad', 0.24247359442226704)",The military be not a social experiment say The point be to kill people and break Lord have mercy
"('neutral', 0.4)",neutral,Excited,"('Excited', 0.2692968977812031)",@ tap in to our RAGE Tried marginalize Saw
"('neutral', 0.53)",neutral,Fear,"('Fear', 0.24150419104695248)",be like drive his fellow around in One Flew Over the Nest
"('negative', 0.822)",negative,Sad,"('Sad', 0.39995757745586263)",Its hard not to wonder if be spoiler
"('neutral', 0.606)",neutral,Excited,"('Excited', 0.22108604079791053)",Between shout out and call a cartel maybe theyre want to be the new
"('positive', 0.904)",positive,Excited,"('Excited', 0.38093820820882196)",with impunity be the new
"('negative', 0.524)",negative,Angry,"('Angry', 0.26531977426651865)",Russia and China probably know more about than the US Congress
"('positive', 0.472)",positive,Excited,"('Excited', 0.41314047287917677)",My father be a puddle of water My mother be an apple I be raise by When president the goat people shall
"('negative', 0.716)",negative,Sad,"('Sad', 0.2779574258207167)",Who do this
"('neutral', 0.399)",neutral,Fear,"('Fear', 0.30687896628772676)",Well do question on climate change the campaign finance reform oh of those th
"('neutral', 0.662)",neutral,Bored,"('Bored', 0.23659089117868373)",take with during
"('positive', 0.993)",positive,Excited,"('Excited', 0.39030556185135795)",this be the best thing ever see in my life
"('negative', 0.753)",negative,Angry,"('Angry', 0.33079606104354886)",at best put theater over substance in At worst they act like Too little substance to much defend this
"('negative', 0.658)",negative,Sad,"('Sad', 0.3041026895805036)",Do I choose or Why even all the way
"('neutral', 0.554)",neutral,Fear,"('Fear', 0.31622346905808507)",need to fix combine speak for bite over So other half time be what
