ParallelSentiScore,ParallelSentiment,ParallelTone,ParallelToneScore,content
"('negative', 0.893)",negative,Fear,"('Fear', 0.3824528966631696)",FUCKSAKE shouldn't smoke so much stuff.
"('positive', 0.682)",positive,Sad,"('Sad', 0.32119254369611516)",Every element in the DOM with children is single parent
"('negative', 0.798)",negative,Sad,"('Sad', 0.6255093846508105)",likes being friends but it hurts when love your friend but the feelings arent the same. trying to sleep. has to really try to give up.
"('positive', 0.744)",positive,Bored,"('Bored', 0.3835955860210397)",slept all day.. lol. now time to start on my UN article.. what fun (: ...
"('negative', 0.755)",negative,Sad,"('Sad', 0.48646378819626035)", It's is in the July issue of OXM... so don't have anything to link you to right now
"('negative', 0.577)",negative,Bored,"('Bored', 0.5467428584326497)",give in to easily
"('negative', 0.882)",negative,Sad,"('Sad', 0.5802191600271766)",Why don't any of my friends ever miss me why do  year old pervs like me why can't be shape shifter ((((((((((((((((((
"('negative', 0.777)",negative,Sad,"('Sad', 0.3573544419581271)","Entered house searching mode yesterday... we need to find an apartment in Dï¿½sseldorf until the end of August, this one was temporary..."
"('positive', 0.746)",positive,Sad,"('Sad', 0.7407445152071883)"," He was creepy for me at first, but did really grow to like him. cried like baby when he and Tosh died."
"('positive', 0.53)",positive,Fear,"('Fear', 0.27253359195542515)"," lol yeah haha. yeah, things are okay, pretty much the same. slowly sorting out everything lol. exams are coming D: haha"
"('negative', 0.643)",negative,Sad,"('Sad', 0.5960113893401355)", hey chocolate chips is good. want snack too but i'm out of snacks.
"('neutral', 0.398)",neutral,Fear,"('Fear', 0.5219561110426622)",with hubby at the dentist ready to hold his hand and getting nervy about potentially buying car tomorrow
"('negative', 0.649)",negative,Sad,"('Sad', 0.34542427956414923)","Why does #googledocs do folders, instead of labels like #gmail? kind of like labels"
"('negative', 0.821)",negative,Bored,"('Bored', 0.8161958792711732)",So damn tired! Another long day trw!
"('negative', 0.949)",negative,Sad,"('Sad', 0.5839659067200059)","just woke up, I'm starving"
"('neutral', 0.581)",neutral,Sad,"('Sad', 0.49414644512474737)",need present for my mom. Could anybody help me ?!
"('negative', 0.698)",negative,Angry,"('Angry', 0.45992032305571995)",going down the post office to try and sort this whole ebay hacker thing
"('positive', 0.731)",positive,Fear,"('Fear', 0.33895787560766766)",sore throat. Planning the TET outing to Marwell though...good times
"('negative', 0.909)",negative,Sad,"('Sad', 0.34433410410793874)","Devastated,set alarm for .,forgot to turn . alarm off got up at . and showered thinking it was .,I am full fool"
"('negative', 0.7)",negative,Angry,"('Angry', 0.3667884796769545)",Guess what happened to my butt yesterday? Yes Annas finger came for visit... and said nothing about it.
"('negative', 0.648)",negative,Fear,"('Fear', 0.3699888214728366)"," something wrong, layout of abduzzeedo site looks no good today, anyone?"
"('positive', 0.661)",positive,Fear,"('Fear', 0.30843549162264666)", Yeah He was such good..erm...entertainment
"('positive', 0.845)",positive,Fear,"('Fear', 0.49094020542368777)",Getting that funny feeling that usually indicates I'm sick. Great....
"('negative', 0.823)",negative,Sad,"('Sad', 0.39430701566334203)",Bacon Fail at Gulb... lack of chef
"('negative', 0.809)",negative,Sad,"('Sad', 0.39547643379390157)","got another long day of papers and projects tomorrow but this time one of the projects is shaving, its been like mths lol. man legs.eww"
"('negative', 0.67)",negative,Angry,"('Angry', 0.3708182780261013)"," yeah, it's gonna be rubbish!"
"('negative', 0.413)",negative,Angry,"('Angry', 0.27687868170293817)", D; You get hate tweets that's sasd.
"('neutral', 0.448)",neutral,Excited,"('Excited', 0.27584041726949116)"," akhrnya The Hills nggi..-nya macet..HIMYM cm ada season,pdhl gw nyari seasonnya"
"('negative', 0.613)",negative,Sad,"('Sad', 0.5696485906953552)",is suprisingly okay. or possibly still drunk. goodbyes suck though
"('negative', 0.427)",negative,Sad,"('Sad', 0.3108511801472773)",Just checked my bank balance. spend like millionaire despite the fact am nowhere near as rich as one.
"('negative', 0.735)",negative,Sad,"('Sad', 0.530407920339975)","Wow will be away and my ;expecting; wife is going to be here in India, thats gonna suck since have made her so dependent on myself"
"('neutral', 0.533)",neutral,Sad,"('Sad', 0.4389828701803073)",wanna go out
"('positive', 0.986)",positive,Sad,"('Sad', 0.5523485075344172)","it's overwhelming how i'm finally catching up with my cousin/bff since was three who haven't seen in years. ah, memories. miss her"
"('positive', 0.614)",positive,Sad,"('Sad', 0.7800702998528071)","missing my man, two months is so long to not see him"
"('negative', 0.915)",negative,Fear,"('Fear', 0.34165353066349013)",Surgery when wake up
"('negative', 0.823)",negative,Sad,"('Sad', 0.5185216950932899)",SF felt WAY too intense for me tonight. Hope that doesn't keep up. Upset with myself for not hanging with  and pearl
"('negative', 0.732)",negative,Sad,"('Sad', 0.3683092286541287)","read the disclaimer, had to close my browser "
"('negative', 0.709)",negative,Sad,"('Sad', 0.4139628109429214)",Its chilly lonley this livingroom
"('negative', 0.483)",negative,Sad,"('Sad', 0.6725958490189876)"," so sorry to hear that. lost two hard drives this year, know the feeling"
"('negative', 0.655)",negative,Sad,"('Sad', 0.7916166664240666)",So many farewell parties! sad to see people leaving ..
"('negative', 0.655)",negative,Angry,"('Angry', 0.4188845249744155)", your making me jealous now want one! How long have guys been married?
"('neutral', 0.602)",neutral,Excited,"('Excited', 0.2492449235123757)"," is on her last day at METRO magazine Ta-ta, dream job. (PS: June issue out now. Czech it out!)"
"('negative', 0.742)",negative,Sad,"('Sad', 0.7438323420856029)",Memphis just can't catch break these days. My poor Tigers
"('negative', 0.938)",negative,Sad,"('Sad', 0.4477235537753649)", they are having closing down sale does not look good.
"('negative', 0.871)",negative,Fear,"('Fear', 0.3393842513695572)",I'm sleepy but is feeling under the weather! ugh! These damn tonsils. need some company or somebody to talk too!
"('negative', 0.91)",negative,Sad,"('Sad', 0.4325137055998591)", words and counting. My hands hurt
"('neutral', 0.76)",neutral,Fear,"('Fear', 0.35184547863283144)", would totally take you to prom...if hadnt already gone sorry lol
"('positive', 0.904)",positive,Sad,"('Sad', 0.6335708579501081)",miss the Doctor Who regular series.
"('negative', 0.978)",negative,Sad,"('Sad', 0.6536017565226372)",Jeez! Little one is seriously constipated. Don't know what to do anymore. Anyone tips? It's terrible seeing him in serious pain
"('negative', 0.876)",negative,Sad,"('Sad', 0.3572819287409228)",im the only ho that didnt go to tigerheat tonite
"('neutral', 0.94)",neutral,Happy,"('Happy', 0.34922931442695615)", Come hang out wif meeee
"('neutral', 0.687)",neutral,Bored,"('Bored', 0.2582280872670596)"," Yes otherdad  Wait, do go back to sleep or cause mischief?"
"('positive', 0.663)",positive,Bored,"('Bored', 0.35983076663500346)",Hmmm thinking about taking back that feel better this morning think spoke to early
"('negative', 0.511)",negative,Sad,"('Sad', 0.37120872772477104)",not to be too macabre but its hard to believe we dropped real nuclear weapon on real japanese humans.  #warisfucked
"('negative', 0.514)",negative,Sad,"('Sad', 0.6788398283959183)",Inshalla! Devo wont be at the Astor tonight
"('negative', 0.727)",negative,Sad,"('Sad', 0.5296870745295594)", wish wasn't all bummed but kinda am
"('negative', 0.56)",negative,Bored,"('Bored', 0.679139655228339)", yup-unfortunately Took today off work and just slept all day.
"('negative', 0.769)",negative,Sad,"('Sad', 0.3339537386319022)",iTunes upgrade reset playcount to zero How will know which one of  Hasta Siempre versions liked best?
"('negative', 0.785)",negative,Sad,"('Sad', 0.3718128170685246)",is feeling so bored... miss school time
"('positive', 0.683)",positive,Sad,"('Sad', 0.6453553389625171)",Watched The Notebook last night.... Wahhhhhhh! good. Cried my eyes out! Maybe bit too close to home think. Go watch!
"('negative', 0.963)",negative,Fear,"('Fear', 0.49846837726729665)",My stomach is all EXPLODE from the wendys why is everything that tastes good bad for you?
"('negative', 0.609)",negative,Angry,"('Angry', 0.2541784174001105)","go to my father's house or not?!that is the question...domestic food and people around me vs my bed,my tv and my world...dont know"
"('negative', 0.865)",negative,Bored,"('Bored', 0.35366599197396253)",@_erica /hugs those are the worst. Mine used to be really bad on the first day..sometimes can't even get out of bed.
"('neutral', 0.614)",neutral,Excited,"('Excited', 0.2962630548863055)"," did one last night it will be available in dvd, blue ray, and digital download via the iTunes store by the end of the week"
"('positive', 0.681)",positive,Happy,"('Happy', 0.287453312434391)"," No, havent heard anything about the show It hasnt been on on saturday nights, but there are the occasional sunday reruns."
"('positive', 0.731)",positive,Happy,"('Happy', 0.4542751158467819)", aww cant wait till get Sydney ;D missed out on tickets tho.. :O xxx
"('neutral', 0.504)",neutral,Sad,"('Sad', 0.36020148690315285)","imissu, come back home now honey"
"('negative', 0.913)",negative,Angry,"('Angry', 0.49729206681170135)",falling asleep and waking to gun shots arent fun
"('positive', 0.382)",positive,Sad,"('Sad', 0.4594797273738596)", I'm concerned for that family
"('negative', 0.708)",negative,Sad,"('Sad', 0.5873328927087624)", will never forgive you for burying the erotica. You're snuffing out our love.
"('positive', 0.546)",positive,Angry,"('Angry', 0.2887149266292819)","Had to fix bike chain on the way to work...arrived filthy, bloody mess lovely weather though!"
"('neutral', 0.543)",neutral,Fear,"('Fear', 0.3026416331112696)", have you seen who's knocked you off top spot on wefollow for #perth?
"('negative', 0.571)",negative,Sad,"('Sad', 0.30168735790619455)", that sux but mayb the btr nvr know
"('negative', 0.504)",negative,Sad,"('Sad', 0.6141220685015752)",   came back to Germany yesterday. My five days in the UK were over.
"('positive', 0.533)",positive,Sad,"('Sad', 0.5420260244152976)",Cant sleeeeep ; miss my long hairrr
"('positive', 0.69)",positive,Fear,"('Fear', 0.31429392888043783)",) really want to see ;Up;
"('positive', 0.793)",positive,Sad,"('Sad', 0.6846603181020342)",mom is ok so far. just missing jaron
"('negative', 0.418)",negative,Fear,"('Fear', 0.31937094607693894)", nuhhhh no info on ticketek yet Heaps excited though! dont care how much but hope it isn't too much..
"('negative', 0.437)",negative,Sad,"('Sad', 0.22135299812041068)",just called Toyota. Car won't be ready til .
"('negative', 0.677)",negative,Sad,"('Sad', 0.3290959335187731)",im finally going home but didnt get to finish all my work so ill be back tomorrow
"('negative', 0.49)",negative,Fear,"('Fear', 0.4191681602189457)", oh dear not fun
"('negative', 0.773)",negative,Fear,"('Fear', 0.46103131753642934)",Can't sleep...so I'm watching HGTV. I'm afraid infomercials are about to take over
"('negative', 0.629)",negative,Angry,"('Angry', 0.4286756165345708)","Because twitter is about being an attention whore: meet new haircut, same as the old one:  She refused to cut fringe"
"('negative', 0.99)",negative,Angry,"('Angry', 0.44755437342393833)",has had AWFUL hiccups today and now can't fall asleep because of them
"('positive', 0.526)",positive,Bored,"('Bored', 0.2837233167273134)", know! wish she would. just wanna cuddle and sleeep in ga! And go to the world of coke
"('negative', 0.683)",negative,Sad,"('Sad', 0.2931811973773026)",guess I'm just not smoking tonight
"('neutral', 0.756)",neutral,Angry,"('Angry', 0.29758588329325547)","Use twitter, quit life"
"('negative', 0.915)",negative,Angry,"('Angry', 0.4011556216756039)"," hey, is your site down? was going to listen to the web stream but can't get to the site..."
"('positive', 0.469)",positive,Fear,"('Fear', 0.28507707782959196)",Oh cr*p ... Placebo tix and Tori Amos both go on sale at am. Anticipating hot cake distribution of both.
"('positive', 0.865)",positive,Sad,"('Sad', 0.31016239944389284)",Happy belated Birthday to Billy!! forgot to say that on his bday. feel aweful!
"('positive', 0.483)",positive,Fear,"('Fear', 0.27031579225227353)"," haha yeah know yeah, things are okay, pretty much the same. i'm slowly sorting things out.. exams are coming D: haha"
"('positive', 0.859)",positive,Happy,"('Happy', 0.43714128883449604)",Listing to old jb music.... Going bck to ; ; miss tht
"('negative', 0.838)",negative,Sad,"('Sad', 0.396795938454657)","wants to move to QLD already, this cold weather is killing me"
"('negative', 0.954)",negative,Bored,"('Bored', 0.29954886059965324)","Just woke up ; can't go back to sleep. Had txt from the bff sayin if you're up call me, sounds important but that was hours ago"
"('positive', 0.439)",positive,Excited,"('Excited', 0.24982090696734752)",/ through project car .
"('negative', 0.577)",negative,Angry,"('Angry', 0.3636299343523604)",playing bejewled on facebook.. damn it want higherscore!
"('negative', 0.734)",negative,Sad,"('Sad', 0.2908218378850459)",starting to wonder if I'm going to get this job... came across as though i'd find work elsewhere if needs must... not intentionally
"('negative', 0.971)",negative,Sad,"('Sad', 0.3851074807274535)",My truss failing 
"('negative', 0.775)",negative,Angry,"('Angry', 0.3883716724968134)", So guess im stuck in the LOBBY
"('negative', 0.773)",negative,Sad,"('Sad', 0.4911397146802602)",days rperss.... where are youuuuuuu
"('negative', 0.977)",negative,Angry,"('Angry', 0.48668696484165164)",stuck in huge traffic jam
"('negative', 0.953)",negative,Angry,"('Angry', 0.33222129181034826)",This porridge tastes shit! cba with today man.
"('negative', 0.809)",negative,Sad,"('Sad', 0.567680718375459)",Have to sell my car. It's costing me too much. Can now afford one rollerskate. Bye bye petey
"('positive', 0.817)",positive,Fear,"('Fear', 0.22374399982582213)",Lovely morning to cycle to work but met with  degree office
"('negative', 0.811)",negative,Bored,"('Bored', 0.5072752799632384)",Trending Topics on Twitter used to useful. Now they're just like middle schoolers passing around notes cause class is boring.
"('negative', 0.804)",negative,Bored,"('Bored', 0.9279501886223134)",hates typing on mac. wishing that i'll be done my english essay soon. sleeeepy
"('negative', 0.917)",negative,Sad,"('Sad', 0.3715520390412755)",Want to get my hands dirty with FubuMVC.  but the document is not yet complete
"('negative', 0.556)",negative,Bored,"('Bored', 0.4525448470896328)","going to work, it's :am"
"('negative', 0.952)",negative,Sad,"('Sad', 0.3804051673861548)",seriously getting hurt.... days before nationals.. what joke
"('negative', 0.951)",negative,Sad,"('Sad', 0.3759632358734669)", CEREAL DOESNT COME WITH TOYS ANYMORE!. jus been thinkin was buyin the wrong kinds say it aint so Mo.
"('negative', 0.876)",negative,Bored,"('Bored', 0.3719363981165627)",sleep? what's sleep again? I've seem to have forgottten the meaning. too much on my mind. or it's just my usual insonmia.
"('negative', 0.985)",negative,Angry,"('Angry', 0.6355742058839946)",Now the mosquito truck is waking me up
"('neutral', 0.385)",neutral,Fear,"('Fear', 0.2492485030458803)", haha okay you were talking about middle college grad think and got worried
"('negative', 0.992)",negative,Bored,"('Bored', 0.4916922828265337)",hate tossing and turning.. Why can't just fall asleep?
"('negative', 0.91)",negative,Bored,"('Bored', 0.6471435350481866)",Another boring meeting to attend
"('positive', 0.473)",positive,Sad,"('Sad', 0.2939583479289512)", Nooo But hey you're back next week! Are you moving back for good?
"('negative', 0.678)",negative,Angry,"('Angry', 0.297364386359547)",can't tell you how thrilled am to have just had nosebleed. first time in ages. overjoyed doesn't cover it. urgh
"('negative', 0.913)",negative,Bored,"('Bored', 0.606690236470323)","Can't seem to sleep tonight... Its :am, need to get up in less than hours..."
"('negative', 0.811)",negative,Bored,"('Bored', 0.4806296996583022)","bah, h waking up"
"('negative', 0.627)",negative,Angry,"('Angry', 0.35956535548919977)", You guys didn't call or come over Did we do something?! Def. give us call tomorrow and hang out with us chick!!
"('positive', 0.458)",positive,Angry,"('Angry', 0.26056598953550614)"," yeah, also had to do paper.. only have one more final left: algebra.. ; take it on my birthday!! (june )"
"('negative', 0.6)",negative,Angry,"('Angry', 0.36577662308269077)","hate working, especially when the weather is good"
"('negative', 0.596)",negative,Sad,"('Sad', 0.44358796915317095)",damn missed 's blogtv hope it was funsies?
"('negative', 0.811)",negative,Sad,"('Sad', 0.32096992856062667)",On the train now. forgot by charger that means no whoshere for me today till get home haha! but I'd still tweet guys! xxx
"('negative', 0.844)",negative,Sad,"('Sad', 0.5020583382661787)","I'm torn, do get an extended warranty for my iPhone when mine runs out, or jailbreak? I've already got problems with battery ; earpiece"
"('negative', 0.463)",negative,Sad,"('Sad', 0.24660072229596694)"," yeh still have the weekend, but get weekends anyways, today is my full last day of vacation time"
"('negative', 0.603)",negative,Sad,"('Sad', 0.3557214546739203)",Back at work.....too much email in my inbox....
"('negative', 0.918)",negative,Angry,"('Angry', 0.4223169537347712)",friday night is my fav night of the week but now have to go to stupid dog training classes
"('negative', 0.724)",negative,Angry,"('Angry', 0.3304610457967054)"," Hello Bella, why you going to delete your account..?"
"('positive', 0.395)",positive,Fear,"('Fear', 0.300554467928781)", think it goes against everything thought the olympic spirit of Team GB is/was
"('negative', 0.489)",negative,Fear,"('Fear', 0.5118011360018805)","Auditions are good but, Iam super nervous! That is one of my virtues"
"('negative', 0.994)",negative,Bored,"('Bored', 0.2597433974133835)",nothing
"('negative', 0.748)",negative,Sad,"('Sad', 0.3468341337727495)", That sucks! I'm going to be doing summer school. Need to catch up on several units
"('neutral', 0.435)",neutral,Angry,"('Angry', 0.32468347002481834)",Going to revise for physics.
"('negative', 0.886)",negative,Angry,"('Angry', 0.33957388363526)",Have you ever stepped on slug by accident? just did hate bugs
"('negative', 0.923)",negative,Bored,"('Bored', 0.43924133060532283)","Damn, got to turn off my alarm so woke up at :am"
"('positive', 0.705)",positive,Sad,"('Sad', 0.5437949410256447)",miss Cary and want to drink some chocolate milk with him.
"('positive', 0.629)",positive,Excited,"('Excited', 0.3747885846701026)", don't ask Hoping that today will be an improvment on the rest of the week. Looking forward to the weekend weather!
"('negative', 0.566)",negative,Sad,"('Sad', 0.3478859766164379)",Can't just be stay at home mom already
"('positive', 0.692)",positive,Bored,"('Bored', 0.8585173942527878)",this sux but took like minutes. going to sleep finally 
"('positive', 0.428)",positive,Excited,"('Excited', 0.38040612186680495)", days to recover from ligament damage (from now) will give me about days to train for the k
"('negative', 0.713)",negative,Sad,"('Sad', 0.5252231499511558)", am lost. Please help me find good home.
"('positive', 0.775)",positive,Excited,"('Excited', 0.2677883545424055)",  degrees would be dream. it's  in Boise still.
"('positive', 0.948)",positive,Sad,"('Sad', 0.30670485237353573)",@_faeriequeen just saw the Hamlet update too excellent news... Never so good as live though
"('negative', 0.831)",negative,Fear,"('Fear', 0.44666053691390245)",im ill hate it. seeing the doc at too .
"('negative', 0.876)",negative,Sad,"('Sad', 0.3535938830120596)",Want to get my hands dirty with FubuMVC.  but the documentation is not yet complete
"('negative', 0.96)",negative,Angry,"('Angry', 0.3287970628488712)",Shit week all fucking week off to the gym now with the worst headache.
"('positive', 0.573)",positive,Bored,"('Bored', 0.2950199561346795)",can't work twitter on my phone! we're just in bed thinking of funny stuff from last night! (L) GOOD TIMES!
"('negative', 0.491)",negative,Excited,"('Excited', 0.2689386789653254)",feel like am at one of those gyms where the machines work you rather than you them
"('negative', 0.96)",negative,Angry,"('Angry', 0.3940517702382695)",my eyes are streaming!! HATE hayfever it's so bad even my tablets aren't working!
"('negative', 0.633)",negative,Fear,"('Fear', 0.3676824556894694)", do you really smoke???
"('positive', 0.422)",positive,Sad,"('Sad', 0.3322038098426399)",_Maree omfg are you alright?
"('negative', 0.918)",negative,Sad,"('Sad', 0.4691875523379511)",_ndo OMG I'm so sorry. I'm the worst employee ever. My hard drive just failed taking the survey data with it
"('negative', 0.969)",negative,Sad,"('Sad', 0.4473890284571251)",is bored at school and my throat it swollen
"('negative', 0.569)",negative,Bored,"('Bored', 0.4548764683298347)",Approaching the weekend quite quickly and so much more work left to do.
"('positive', 0.971)",positive,Fear,"('Fear', 0.25356567018286696)", Yay! Thank you.. Feels like ur yelling at us LOL
"('positive', 0.436)",positive,Fear,"('Fear', 0.3160174275282744)",down with nasty cold in cagayan de oro
"('negative', 0.593)",negative,Sad,"('Sad', 0.42680753853181425)",NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!! :**-(
"('negative', 0.986)",negative,Angry,"('Angry', 0.7818324598767435)",My brother just woke me up to help him with his homework. I'm not happy
"('negative', 0.955)",negative,Angry,"('Angry', 0.6134949390094776)",Disturbed. They sold the baby tiger met in Thailand as an exotic pet. Greedy bastards
"('positive', 0.374)",positive,Sad,"('Sad', 0.37569150323451317)",wishes wag na sana ma reject thesis proposal ko nadedepress na ko eh (goodluck) (annoyed) 
"('positive', 0.693)",positive,Sad,"('Sad', 0.4347057899307085)"," yep, wish they were all playing dubiln"
"('negative', 0.628)",negative,Fear,"('Fear', 0.27449213965048863)","and I'm so naughty cant even take my dog, have to sit ; watch how proper dog owners do it, will Brunos life ever be the same?"
"('positive', 0.548)",positive,Fear,"('Fear', 0.27857638137339574)","Ok, ahhh! Last chance to go into school before chemistry exam!!"
"('negative', 0.721)",negative,Bored,"('Bored', 0.5434994501321371)","Also, anyone else hayfevery today??? I've only been awake for mins and sufferin already"
"('positive', 0.591)",positive,Sad,"('Sad', 0.423841685891974)",I'm glad that all got cleared up. lah you! Idk why Linda hates me though..
"('negative', 0.79)",negative,Fear,"('Fear', 0.719075487707261)",dog just farted so bad.....
"('positive', 0.647)",positive,Sad,"('Sad', 0.3666182155208683)", morning Alex hope you will be tweeting lots today as we do miss you when you aren't on here xx
"('negative', 0.928)",negative,Sad,"('Sad', 0.4072777432648383)","Euh, got LDAP Schema Error Why oh Why"
"('neutral', 0.725)",neutral,Happy,"('Happy', 0.41517136691308215)",lunch at .pm!
"('negative', 0.639)",negative,Sad,"('Sad', 0.34010688147571516)",assignments!
"('negative', 0.975)",negative,Bored,"('Bored', 0.609904334764041)",Sooo tired cant believe its already dark outside didnt even get to see the day
"('negative', 0.973)",negative,Angry,"('Angry', 0.39574573795091034)"," Yeah, I've got the same issue signed up but no confirmation email"
"('positive', 0.616)",positive,Sad,"('Sad', 0.4122733227557296)",loved johnny carson now I'm going to hate seeing jay leno go (via ) that's what was waiting for someone to say!
"('positive', 0.681)",positive,Sad,"('Sad', 0.6660042018419301)", Sorry to hear that man He is were the bullshit cant reach him now. My heart goes out to you and your family.
"('negative', 0.609)",negative,Sad,"('Sad', 0.39399975365027096)", visit si fr joemar dito bataan (frm camiguin) ; sum of my ofcmates; are supposed to meet him this saturday can't luwas
"('neutral', 0.838)",neutral,Excited,"('Excited', 0.2828800420004058)",prepare yourself
"('negative', 0.969)",negative,Angry,"('Angry', 0.38697935617232043)", boo you didnt answer my text
"('positive', 0.804)",positive,Angry,"('Angry', 0.20667891421194196)", Lucky Rob... always gettin' the T's from Emalon
"('neutral', 0.399)",neutral,Sad,"('Sad', 0.7890512181550737)", aw were sad you had to leave tokyo. come back.please
"('negative', 0.384)",negative,Happy,"('Happy', 0.23928575220620632)",there are days of summervac ; school comes along just end it ; the annual problem of generation is finding good way spend it!!
"('neutral', 0.574)",neutral,Happy,"('Happy', 0.2537760903550339)", TOLD YOU!
"('neutral', 0.577)",neutral,Fear,"('Fear', 0.3578857840409148)",_II It's foggy here
"('neutral', 0.463)",neutral,Angry,"('Angry', 0.29801129649888763)", but you should move here! have school.
"('negative', 0.465)",negative,Sad,"('Sad', 0.32292648196163104)", Aint the UK fans your fav people!?
"('positive', 0.839)",positive,Happy,"('Happy', 0.4132791715295899)", haha! nice! Have fun doll! Hopefully I'll see ya soon! miss ur face!
"('negative', 0.834)",negative,Sad,"('Sad', 0.4275257398328005)","docs are getting younger these days.can guess where am i??yup, NUH!! paying my ear doc visit. Ouch!!"
"('negative', 0.484)",negative,Bored,"('Bored', 0.4786148940426825)",Well I'm going to try and sleep now have to be at work at tomorrow and then the weekend starts!!!! 
"('negative', 0.838)",negative,Fear,"('Fear', 0.32698019718613275)", My Mum said probably wont get out of it ALSO it goes for like months. That's normal right?
"('negative', 0.979)",negative,Angry,"('Angry', 0.45552537145146893)",im cold still cant find my hoodie
"('positive', 0.797)",positive,Sad,"('Sad', 0.7878617055096669)",Eating pringles at nearly AM really reminds me of touring with the Jonas Brothers (don't ask).......I miss that so much....
"('negative', 0.611)",negative,Fear,"('Fear', 0.28961045450811895)", don't even know what sporting social enterprise means....
"('negative', 0.9)",negative,Angry,"('Angry', 0.33009232385450016)"," Your pic didn't show up for me Boo!!!! All the other pics on that site show up, but not yours"
"('neutral', 0.453)",neutral,Sad,"('Sad', 0.3085355604546404)",yummy chocolate cake..wish even got one for my b'day!! anybody listening???
"('negative', 0.769)",negative,Sad,"('Sad', 0.46719421143278117)","Um, why arent episodes - of Lost season on abc?! Good thing Im going to Vegas in the am to keep me distracted from this tragedy."
"('negative', 0.712)",negative,Sad,"('Sad', 0.3429847488344976)", It was white... acidentally left it in when was doing my colours...
"('negative', 0.54)",negative,Sad,"('Sad', 0.6513136190329132)",Going back to Manila this evening. All my trips to Cebu are so bitin.
"('positive', 0.737)",positive,Happy,"('Happy', 0.2690774301139899)",...I just posted my First video... contest entry and my still is terrible too boo...luv ur videos btw. Xxxrebelrebelxxx
"('negative', 0.932)",negative,Angry,"('Angry', 0.41070197347890125)","seriously hate my life: it's currently :am, have finals tomorrow, and have not slept single second"
"('neutral', 0.52)",neutral,Sad,"('Sad', 0.3882039156186327)", I'm sorry...I'll make sure do that next time.
"('negative', 0.719)",negative,Sad,"('Sad', 0.3853470277940771)", same. Was going to try warm milk but I'm lactose intolerant haha.
"('neutral', 0.512)",neutral,Angry,"('Angry', 0.19492038193119812)",_jane hope yours will go away quicker than mine ( weeks now and counting)
"('neutral', 0.521)",neutral,Fear,"('Fear', 0.4228610736218371)",yack yack -- resorting to these :#;!@#$%^;*()etc. to stay within twitter limits?? not good
"('positive', 0.566)",positive,Bored,"('Bored', 0.8538720434801832)",wish could go back to bed with 
"('negative', 0.895)",negative,Bored,"('Bored', 0.30104505761592365)",just woke up day off and need to go in to work that sucks. Also have to go dentist for filling at  then st helens for mri scan at
"('negative', 0.591)",negative,Sad,"('Sad', 0.4931701689493323)",Mom has left... again
"('negative', 0.959)",negative,Angry,"('Angry', 0.2830345963289649)",Is up and can't go to sleep!
"('neutral', 0.47)",neutral,Sad,"('Sad', 0.2979303997855133)",chapter ... probably on monday. still need more comments.
"('positive', 0.911)",positive,Happy,"('Happy', 0.1941088938422078)",Just finished watching terminator. Other than the music nothing is great
"('negative', 0.701)",negative,Sad,"('Sad', 0.36191365214449456)",cant afford it go to school here !!
"('negative', 0.619)",negative,Sad,"('Sad', 0.5548994187476933)","cries. AJ radio is gone Guess won't be DJing anymore.. until get this fully fixed.. How are we btw? Heaps of homework, long weekend."
"('positive', 0.636)",positive,Excited,"('Excited', 0.27835247733770896)", cool dude! yeah was hoping your rate was still .. lol! yeah not sure when ill mar and par for my birthday dinner.
"('neutral', 0.553)",neutral,Sad,"('Sad', 0.3334766073068635)","... need retail therapy, bad. AHHH.....gimme money geebus"
"('negative', 0.627)",negative,Happy,"('Happy', 0.29595385406809477)",feel less than nothin'.. lower than zero..
"('negative', 0.526)",negative,Sad,"('Sad', 0.6053723862211169)",Attempting to sleep. My puppy is sick already
"('negative', 0.865)",negative,Sad,"('Sad', 0.3742558190418571)","my mind is racing ... b/c of words he wrote. hate him, but hate her most. ... and can't keep from falling for him"
"('negative', 0.691)",negative,Bored,"('Bored', 0.760978088236741)",cant sleep so tired! goodnight... maybe :/
"('negative', 0.526)",negative,Fear,"('Fear', 0.24046949630985215)","So, am working on the news as well while am doing all of this ; Rob is all over the place! No wonder that boy never gets left alone!"
"('positive', 0.656)",positive,Sad,"('Sad', 0.22514898254229446)",got my cable set up! WIN! got my lock put on my door! WIN! feeling tad neglected... FAIL.
"('negative', 0.915)",negative,Sad,"('Sad', 0.39553344766889054)"," really... I'm an alumnus, and don't know myself! and we didn't have Macs yet when was there..."
"('negative', 0.503)",negative,Fear,"('Fear', 0.39865939645367293)", blimey! You're still suffering?!!
"('neutral', 0.442)",neutral,Fear,"('Fear', 0.4280817974490988)"," Yeah, that was my thumb last night. Sorry"
"('negative', 0.477)",negative,Sad,"('Sad', 0.380319669959697)","Back to LA from Las Vagas, Nice Trip Nice Food ....but lose  with Slot Machine..."
"('neutral', 0.462)",neutral,Angry,"('Angry', 0.3177923063345825)", ill be alright but the whip may not
"('negative', 0.86)",negative,Angry,"('Angry', 0.49559059076089684)", OH FACK GAVE ME POLICE THATS SOME SERIOUSE SHIT
"('negative', 0.701)",negative,Sad,"('Sad', 0.36191365214449456)", cant afford it go to school here !!
"('negative', 0.735)",negative,Fear,"('Fear', 0.30217576849715816)",Too broke for cigarettes.
